,all_tree,double_tree,all_tree_trimmed,double_tree_trimmed
rec,"['johansson stl healy nyi 199293 chi bure linden neely buf pts '
 'nyr messier motto canucks goaltending keenan defenseman skate vernon edmonton potvin gretzky norris hawks lemieux troy '
 'sinus nutrition quack doses allergies dietary allergy elevated intake ']",['nyr messier motto canucks goaltending keenan defenseman skate vernon edmonton potvin gretzky norris hawks lemieux troy '],['nyr messier motto canucks goaltending keenan defenseman skate vernon edmonton potvin gretzky norris hawks lemieux troy '],[]
sci,"['authentication diffiehellman publickey 80bit vesselin skipjack '
 'coding '
 'eps multisync xterminal autocad thirdparty xlib 640x480 buggy 12mb '
 'strap obstacles particulars 25th ']",['authentication diffiehellman publickey 80bit vesselin skipjack '],['authentication diffiehellman publickey 80bit vesselin skipjack '],[]
sci,"['angles wuarchivewustledu ' 'billy '
 'commited briefing sanctions felony libertarians justifies realise aforementioned goodbye caliber fallacy freeman advisory allegations usefulness '
 'ole '
 'omega diode charger transformer antennas joystick 12v volts volt ohm resistors amps resistor circuits schematic disadvantages amplifier '
 'viola denning 253 confiscated lance n2 diplomatic underway pizza isolate n1 decoding ']",[],['omega diode charger transformer antennas joystick 12v volts volt ohm resistors amps resistor circuits schematic disadvantages amplifier '],[]
sci,"['bethesda sensation defects mds therapies tablets illnesses noring substances vitamin scimed oriental yeast acute oath med crooks prescription dose protein allergic skepticism infection clinical fever anecdotal diagnosed physicians pregnancy chronic rude organism diagnosis empirical tract leaf liver '
 'stimulus heterosexuals 424 jsh proverbs yankee sanders promiscuous clement scsi2 planets isaiah reinstall lds uuencoded offend richer fisher '
 'xfactor bagged avengers surfer mutants winini winmarks convex comics marvel lantern 1913 226 rented franks downloading fractal ftpcicaindianaedu communism stacker uploaded cica noninterlaced clh 508 examiner expiration particle orbital vw rename ncd quran arabs fpu ow iici conner jpeg encryption cam israeli jumper bike films fuck employers nsa bds turkish ']",['bethesda sensation defects mds therapies tablets illnesses noring substances vitamin scimed oriental yeast acute oath med crooks prescription dose protein allergic skepticism infection clinical fever anecdotal diagnosed physicians pregnancy chronic rude organism diagnosis empirical tract leaf liver '],['bethesda sensation defects mds therapies tablets illnesses noring substances vitamin scimed oriental yeast acute oath med crooks prescription dose protein allergic skepticism infection clinical fever anecdotal diagnosed physicians pregnancy chronic rude organism diagnosis empirical tract leaf liver '],[]
sci,"['bmws cruiser yamaha scratches '
 'dithering organic soldered ttl packaged iisi batman moderately organs moisture genes discontinued missiles modulation induce sensed hollow chassis microprocessor suppliers interactions casualties bacteria instructor rests investigators seize cans travelling charm '
 'lou '
 'shafer reusable pluto ssto orbiter billboards reentry jupiter dryden inflatable braking ']",[],['shafer reusable pluto ssto orbiter billboards reentry jupiter dryden inflatable braking '],[]
soc,"['5v lan deficiency ' 'astronauts mclean rsa '
 'baerga beastmaster lf infield padres henderson mjonesdonaldaixkingstonibmcom rickey alomar rbis cy sandberg baseman fielder obp royals rbi bullpen slg hitter palmer '
 'gibson deposited pursued '
 'pastor baptized congregation corinthians repent pagan '
 'xforce hulk spiderman tga raiders eng cyrix lpt1 toner carbs highquality commodore dimensional octopus hq keyword adaptec transistor nanao convertible republicans 206 ulf syquest capacitor lung web tia wiretaps hydrogen sabres athena powerbook guitar scispace tempest toyota epson overdrive puck que obo foods v4 gcc widgets jumpers galaxy ']",[],['pastor baptized congregation corinthians repent pagan '],[]
talk,"['beauchaine bobbeviceicotekcom creationist ceremonies mlud wibbled controler fanaticism reboost 8177 techniciandr sank theist msf theism petri philosophers queens kirlian bronx lutheran josephus nonchristian jmdhandheldcom fuhr manhattan metaphor theists semiconductor protestants apostles gospels atm trinity '
 'bi '
 'rushdie xloadimage dxf povray rainer shading callbacks xterminals animations decs imagewriter truecolor geometric siggraph c650 targa adb macweek foreground spreadsheet lciii pds defaults photoshop 68030 booted win31 latex 80mb v8 contrib 20mhz builder exportlcsmitedu nubus se30 robotics r5 laserwriter x11r4 toolkits grayscale centris basement simm '
 'tpg progun 9mm homicides rkba shotguns homicide semiautomatic ammo unregistered noknock federalist joshua annually unconstitutional antigun handguns bureaucracy mindset firearm lens talkpoliticsguns seizures amendments riot handgun 80000 ']",['bi '],['tpg progun 9mm homicides rkba shotguns homicide semiautomatic ammo unregistered noknock federalist joshua annually unconstitutional antigun handguns bureaucracy mindset firearm lens talkpoliticsguns seizures amendments riot handgun 80000 '],[]
talk,"['365 211 238 393 '
 'asalasdpaarf revisionism zionism irgun hamas grandparents mosque ottoman turk xsoviet massacred ankara kurdish extermination istanbul turkiye corpses zionist colonel mat exterminated kurds plains shamir '
 'inflicted unemployment 1934 militarily armies practitioners helicopter cyprus territories policemen disclosure stalin surgical biker profound expelled vagina israelis villages treaties israels antisemitic abolish occupation 1915 polls inquisition humanitarian axes disputed cpus moslems invade vicinity '
 'rust exterior mercedes automobiles idaho saturn lid alarms orbit 198 regulate '
 'shafer reusable pluto ssto orbiter billboards reentry jupiter dryden inflatable braking ']",[],['asalasdpaarf revisionism zionism irgun hamas grandparents mosque ottoman turk xsoviet massacred ankara kurdish extermination istanbul turkiye corpses zionist colonel mat exterminated kurds plains shamir '],[]
talk,"['aftermarket slash parked '
 'conservatives sinners configurations mining refuge fighter providence cream heresy ambiguous '
 'flyby 930401 galactic asteroids interplanetary amesarcnasagov trajectory spatial payloads dcx magellan voyager astronaut orbiting observatory comets esa orbits navigation mariners astronomers payload nist '
 'johansson stl healy nyi 199293 chi bure linden neely buf pts '
 'optimal ama 207 insults chambers refrain '
 'wiretapping safeguards vlsi ']",[],['wiretapping safeguards vlsi '],[]
talk,"['80ns mfm seagate infections 493 diagnostic healing '
 'grid ge cluster pasadena '
 'inflicted unemployment 1934 militarily armies practitioners helicopter cyprus territories policemen disclosure stalin surgical biker profound expelled vagina israelis villages treaties israels antisemitic abolish occupation 1915 polls inquisition humanitarian axes disputed cpus moslems invade vicinity '
 'jerome gps '
 'thy forgiveness churchs baptist protestant ephesians koreshs creatures parable evangelical healed theologians preaching herring bibles christs mormon saints scriptures '
 'withdrawal favored parliament aliens computation systematic disarmed sponsor mccarthy consortium agriculture '
 'xfactor bagged avengers surfer mutants winini winmarks convex comics marvel lantern 1913 226 rented franks downloading fractal ftpcicaindianaedu communism stacker uploaded cica noninterlaced clh 508 examiner expiration particle orbital vw rename ncd quran arabs fpu ow iici conner jpeg encryption cam israeli jumper bike films fuck employers nsa bds turkish ']",[],['thy forgiveness churchs baptist protestant ephesians koreshs creatures parable evangelical healed theologians preaching herring bibles christs mormon saints scriptures '],[]
