,all_tree,double_tree,all_tree_trimmed,double_tree_trimmed
Film-Noir,"['epic creative shouldnt heroes frankly stick heck dollars '
 'kid grew town son sister brother '
 'levels responsible fell member position deserve thankfully concerns receive choose sends dropped driving '
 'noir vintage '
 'situations loud hearted spent entertained entertain tired ended hits smile spend mildly enjoying refreshing fresh touch hair tedious ride stereotypes inventive sake fashioned cares asleep deleted teenagers lighthearted shallow spin empty ']",['levels responsible fell member position deserve thankfully concerns receive choose sends dropped driving '],['noir vintage '],[]
History,"['continue suffering incredible strongly combined sinister sorts required tremendous devoted standing dedicated overwhelming enters attempted suffered rights '
 'hilariously ' 'historians ' 'historically ' 'inaccuracies '
 'religious beliefs '
 'wrote largely revelation subsequent failure test motives instance ']",[],['historically '],[]
Horror,"['creatures creature '
 'creepy scare spooky scary monster menacing nightmares '
 'reveal facts informative context adaptation carefully thrill designed intrigue figures covers charismatic equal offered highest crucial opened eyed cutting seeking '
 'scifi '
 'sequences biggest barely credits compared sequence worked immediately rating added standard featured pick team body clean arrives crew motion '
 'tension tense melodramatic taut ']",['creepy scare spooky scary monster menacing nightmares '],['creepy scare spooky scary monster menacing nightmares '],[]
Music,"['concert musicians lyrics album albums ' 'martial '
 'predictable likable lacks mediocre rental forgettable bland cliche dimensional originality promising generic cliches formulaic formula derivative '
 'ridiculous cheap ludicrous idiotic embarrassing amateurish '
 'songs musical song singing sing dancing dance singers vocal catchy ']","['concert musicians lyrics album albums '
 'songs musical song singing sing dancing dance singers vocal catchy ']",['songs musical song singing sing dancing dance singers vocal catchy '],[]
Musical,"['chills surprises tune listening alike discuss reference stayed tradition vast briefly solution accomplished definition '
 'choreographed '
 'detailed darker genres distracting backgrounds productions accounts '
 'era earlier includes holds originally explosions forgotten sharp remembered standards todays anymore contrast technical appeared memories pre enhanced faithful versions arrive delighted '
 'musicals broadway ' 'musician '
 'songs musical song singing sing dancing dance singers vocal catchy ']",[],['musicals broadway '],[]
Mystery,"['girlfriend indie boyfriend independent festival '
 'humans destroy caused destroyed destruction outer planet '
 'investigation investigate investigating '
 'mix humour pace bits generally timing notch missed discover provided sitting greatly consistently reminiscent technically soft improved '
 'mystery dramatic fiction complex psychological slowly conclusion tragic guessing revealed clues unexpected brilliantly screenwriter increasingly unfolds builds appreciated understood pity understated doctor gradually nuanced progresses flashbacks overlooked '
 'thriller suspense thrillers suspenseful thrills thrilling '
 'western army country west foreign ']",[],['mystery dramatic fiction complex psychological slowly conclusion tragic guessing revealed clues unexpected brilliantly screenwriter increasingly unfolds builds appreciated understood pity understated doctor gradually nuanced progresses flashbacks overlooked '],[]
Romance,"['atmospheric gothic ' 'attracted attraction '
 'loves successful public equally opens pure dull write fit portraying current disappointment personally prove impressed incredibly experienced general comment meet afraid granted generation fail holding challenge lose break met meeting reviewed homage '
 'portrayed setting convincing thrown delivers admit ideas manner fellow intended intelligent offer pull forward purpose fare sheer badly producers filming initially unbelievable trailers debut executed wearing picked normal wide business commentary hated post category alive floor seek store imdb jump '
 'romance romantic chemistry gorgeous handsome scenery beauty breathtaking lush color exquisite romances '
 'thinks puts contrived latest lovable capable pulls driven spends status ill taste acceptable believed pain heavy shines email neat credibility upset alas profanity ironically web persona concern picks definite net promise door ']",['attracted attraction '],['romance romantic chemistry gorgeous handsome scenery beauty breathtaking lush color exquisite romances '],[]
Sci-Fi,"['historical europe countries european ' 'satire satirical '
 'sci science futuristic ' 'western army country west foreign ']",['sci science futuristic '],['sci science futuristic '],[]
Short,"['agree soundtrack product reading happening inside total hadnt longer wanting types editing worry subtitles comparison hopes wow scenario hundreds hearing prefer section received '
 'battle fighting enemy fight weapons rousing '
 'disappointing cinematic utterly impossible requires gifted involvement '
 'hitchcock '
 'mystery dramatic fiction complex psychological slowly conclusion tragic guessing revealed clues unexpected brilliantly screenwriter increasingly unfolds builds appreciated understood pity understated doctor gradually nuanced progresses flashbacks overlooked '
 'provoking filmmaker consequences topic provocative examination devastating '
 'stunts ']",[],['agree soundtrack product reading happening inside total hadnt longer wanting types editing worry subtitles comparison hopes wow scenario hundreds hearing prefer section received '],[]
Sport,"['adventure adventures '
 'killed violence kill nasty kills evil gang revenge deadly '
 'noir vintage '
 'potential situation focus ability expectations loving wondering answer finding suggest meaning supposedly places asks overly reminds comments describe concerned grow speaks influence turning develop months fault breath peoples related twenty talks paying areas raised messages saved calling '
 'sports sport coach ']",['killed violence kill nasty kills evil gang revenge deadly '],['sports sport coach '],[]
Thriller,"['artist recording nostalgia ' 'artists ' 'creatures creature '
 'numbers weak packed climax involves spoilers tight finale agent edge danger qualities paced wooden mayhem buff assigned competent adequate '
 'thriller suspense thrillers suspenseful thrills thrilling ']","['creatures creature '
 'thriller suspense thrillers suspenseful thrills thrilling ']",['thriller suspense thrillers suspenseful thrills thrilling '],[]
War,"['chills surprises tune listening alike discuss reference stayed tradition vast briefly solution accomplished definition '
 'predictable likable lacks mediocre rental forgettable bland cliche dimensional originality promising generic cliches formulaic formula derivative '
 'tunes pop band energetic '
 'war combat military soldiers troops soldier commander ' 'wwii german ']",['tunes pop band energetic '],['wwii german '],[]
Western,"['era earlier includes holds originally explosions forgotten sharp remembered standards todays anymore contrast technical appeared memories pre enhanced faithful versions arrive delighted '
 'gritty tough shoot gun shooting chases outlaw cowboy owner guns shoots trail explosive hired command bullets '
 'horrific horrifying gruesome horrors graphic '
 'levels responsible fell member position deserve thankfully concerns receive choose sends dropped driving '
 'lived spirit ' 'westerns ']",['levels responsible fell member position deserve thankfully concerns receive choose sends dropped driving '],['westerns '],[]
