,all_tree,double_tree,all_tree_trimmed,double_tree_trimmed
History,"(car, cars, chases, driving) 
 (edition, print, restored, blu, audio, transfer, disc, bios, remastered, widescreen, extras, versions, restoration, discs, format, dolby, criterion, releases, digitally, included, theatrical) 
 (events, accuracy, accurate, facts, confusing) 
 (government, politics, political, campaign, president, bush, politicians, administration, election) 
 (historical, costumes, era, period, historically, clothes, century) 
 ","(car, cars, chases, driving) 
 (government, politics, political, campaign, president, bush, politicians, administration, election) 
 ","(car, cars, chases, driving) 
 (edition, print, restored, blu, audio, transfer, disc, bios, remastered, widescreen, extras, versions, restoration, discs, format, dolby, criterion, releases, digitally, included, theatrical) 
 (events, accuracy, accurate, facts, confusing) 
 (government, politics, political, campaign, president, bush, politicians, administration, election) 
 (historical, costumes, era, period, historically, clothes, century) 
 ",car cars chases driving (government politics political campaign president bush politicians administration election)
Horror,"(emotional, magical, waves, stage, silent, evidence, broadway, emotionally, powerful, emotions, affair, emotion, owner, dramatic, bland, deeply, feelings, truth, loss, passionate) 
 (horror, creepy, slasher, dracula, scares, scare, supernatural, spooky, chills, scariest, frightening, terrifying, halloween, haunted, chilling, haunting, scary, ghost, elm, horrific, demonic) 
 (monster, creature, creatures) 
 (noir, crime, caper, criminal, criminals, crimes) 
 (nominated, oscar, won, award, winning, nomination) 
 ","(horror, creepy, slasher, dracula, scares, scare, supernatural, spooky, chills, scariest, frightening, terrifying, halloween, haunted, chilling, haunting, scary, ghost, elm, horrific, demonic) 
 ","(emotional, magical, waves, stage, silent, evidence, broadway, emotionally, powerful, emotions, affair, emotion, owner, dramatic, bland, deeply, feelings, truth, loss, passionate) 
 (horror, creepy, slasher, dracula, scares, scare, supernatural, spooky, chills, scariest, frightening, terrifying, halloween, haunted, chilling, haunting, scary, ghost, elm, horrific, demonic) 
 (monster, creature, creatures) 
 (noir, crime, caper, criminal, criminals, crimes) 
 ",horror creepy slasher dracula scares scare supernatural spooky chills scariest frightening terrifying halloween haunted chilling haunting scary ghost elm horrific demonic (
Music,"(concert, band, musicians, bands, rock, musician, punk) 
 (culture, cultural, cultures) 
 (dancing, dance, dances) 
 (gore, gory, violence, violent, bloody, brutal, brutality, blood, graphic) 
 (musicals, songs, singing, musical, song, numbers, sing, sings, singer, singers, lyrics, vocals, sung) 
 (rambo, revenge, assassination, killed, killing, kills, kill, gun, shoot) 
 ","(musicals, songs, singing, musical, song, numbers, sing, sings, singer, singers, lyrics, vocals, sung) 
 ","(concert, band, musicians, bands, rock, musician, punk) 
 (culture, cultural, cultures) 
 (dancing, dance, dances) 
 (gore, gory, violence, violent, bloody, brutal, brutality, blood, graphic) 
 (musicals, songs, singing, musical, song, numbers, sing, sings, singer, singers, lyrics, vocals, sung) 
 (rambo, revenge, assassination, killed, killing, kills, kill, gun, shoot) 
 ",musicals songs singing musical song numbers sing sings singer singers lyrics vocals sung (
Musical,"(concert, band, musicians, bands, rock, musician, punk) 
 (killer, serial, killings, murderer, killers, maniac) 
 (mgm, ballet, stunts, sequences, choreography, routines, choreographed, learns, sequence) 
 (musicals, songs, singing, musical, song, numbers, sing, sings, singer, singers, lyrics, vocals, sung) 
 (sergeant, sgt) 
 ","(killer, serial, killings, murderer, killers, maniac) 
 ","(concert, band, musicians, bands, rock, musician, punk) 
 (killer, serial, killings, murderer, killers, maniac) 
 (mgm, ballet, stunts, sequences, choreography, routines, choreographed, learns, sequence) 
 (musicals, songs, singing, musical, song, numbers, sing, sings, singer, singers, lyrics, vocals, sung) 
 (sergeant, sgt) 
 ",killer serial killings murderer killers maniac (
Mystery,"(detective, investigation, mystery, clues, mysterious, investigating) 
 (hitchcock, hitchcocks, alfred) 
 (horror, creepy, slasher, dracula, scares, scare, supernatural, spooky, chills, scariest, frightening, terrifying, halloween, haunted, chilling, haunting, scary, ghost, elm, horrific, demonic) 
 (robbers,  
 ","(detective, investigation, mystery, clues, mysterious, investigating) 
 (horror, creepy, slasher, dracula, scares, scare, supernatural, spooky, chills, scariest, frightening, terrifying, halloween, haunted, chilling, haunting, scary, ghost, elm, horrific, demonic) 
 ","(detective, investigation, mystery, clues, mysterious, investigating) 
 (hitchcock, hitchcocks, alfred) 
 (horror, creepy, slasher, dracula, scares, scare, supernatural, spooky, chills, scariest, frightening, terrifying, halloween, haunted, chilling, haunting, scary, ghost, elm, horrific, demonic) 
 (robbers,  
 ",detective investigation mystery clues mysterious investigating (horror creepy slasher dracula scares scare supernatural spooky chills scariest frightening terrifying halloween haunted chilling haunting scary ghost elm horrific demonic)
Romance,"(adults, children, childrens, ages, parents, daughter, adult, families, grandchildren, kid, parent, younger) 
 (gore, gory, violence, violent, bloody, brutal, brutality, blood, graphic) 
 (romantic, charming, romance, cute, charm, chick, sweet, technicolor, gorgeous, meets, lovely, enchanting, innocent, wholesome, beauty, gentle, handsome) 
 (wedding, marry) 
 ","(gore, gory, violence, violent, bloody, brutal, brutality, blood, graphic) 
 (wedding, marry) 
 ","(adults, children, childrens, ages, parents, daughter, adult, families, grandchildren, kid, parent, younger) 
 (gore, gory, violence, violent, bloody, brutal, brutality, blood, graphic) 
 (romantic, charming, romance, cute, charm, chick, sweet, technicolor, gorgeous, meets, lovely, enchanting, innocent, wholesome, beauty, gentle, handsome) 
 (wedding, marry) 
 ",gore gory violence violent bloody brutal brutality blood graphic (wedding marry)
Sci-Fi,"(frankenstein,  
 (sci, alien, space, aliens, outer, invasion) 
 (science, scientific, scientist, scientists, research) 
 (war, soldiers, vietnam, combat, military, troops, soldier, army) 
 ","(science, scientific, scientist, scientists, research) 
 ","(frankenstein,  
 (sci, alien, space, aliens, outer, invasion) 
 (science, scientific, scientist, scientists, research) 
 (war, soldiers, vietnam, combat, military, troops, soldier, army) 
 ",science scientific scientist scientists research (
Short,"(beach,  
 (episodes, episode, seasons, aired, television, storylines) 
 (gangster, mob, mafia, gangsters, mobster) 
 (python, monty) 
 ",,"(beach,  
 (episodes, episode, seasons, aired, television, storylines) 
 (python, monty) 
 ",
Sport,"(boxing,  
 (car, cars, chases, driving) 
 (coach, sports, team, sport, football) 
 (karate,  
 (virus,  
 ","(coach, sports, team, sport, football) 
 (karate,  
 ","(boxing,  
 (coach, sports, team, sport, football) 
 (karate,  
 (virus,  
 ",boxing (coach sports team sport football)
Thriller,"(detective, investigation, mystery, clues, mysterious, investigating) 
 (killer, serial, killings, murderer, killers, maniac) 
 (monster, creature, creatures) 
 (noir, crime, caper, criminal, criminals, crimes) 
 (thriller, suspense, adventure, thrillers, suspenseful, tension, exciting, thrilling, gripping, jurassic, tense, thrills, seat, taut, intense) 
 ","(thriller, suspense, adventure, thrillers, suspenseful, tension, exciting, thrilling, gripping, jurassic, tense, thrills, seat, taut, intense) 
 ","(detective, investigation, mystery, clues, mysterious, investigating) 
 (killer, serial, killings, murderer, killers, maniac) 
 (monster, creature, creatures) 
 (noir, crime, caper, criminal, criminals, crimes) 
 (thriller, suspense, adventure, thrillers, suspenseful, tension, exciting, thrilling, gripping, jurassic, tense, thrills, seat, taut, intense) 
 ",thriller suspense adventure thrillers suspenseful tension exciting thrilling gripping jurassic tense thrills seat taut intense (
War,"(allens, allen, woody) 
 (german, germany, wwii, germans, hitler) 
 (japanese, japan) 
 (war, soldiers, vietnam, combat, military, troops, soldier, army) 
 ","(german, germany, wwii, germans, hitler) 
 (japanese, japan) 
 ","(allens, allen, woody) 
 (german, germany, wwii, germans, hitler) 
 (japanese, japan) 
 (war, soldiers, vietnam, combat, military, troops, soldier, army) 
 ",german germany wwii germans hitler (japanese japan)
Western,"(hong, chinese, china, asian) 
 (japanese, japan) 
 (monster, creature, creatures) 
 (westerns, western) 
 ","(japanese, japan) 
 ","(hong, chinese, china, asian) 
 (japanese, japan) 
 (monster, creature, creatures) 
 (westerns, western) 
 ",japanese japan (
