,all_tree,double_tree,all_tree_trimmed,double_tree_trimmed
rec,"(gant, duke, padres, cubs, marlins, slg, pitching, stephcsuiucedu, runners, cincinnati, orioles, pct, stephenson, fielder, ops, sn, sox, brewers, bats, sanders, pilots, braves, mariners, twins, tigers, mets, ip) 
 (motto,  
 (providence, keenan, hawks, darren, champs, ahl, smythe, sharks, espn, oilers, bure, goaltending, cats, referee, leafs, tampa, norris, hartford, franchise, blues, overtime, devils, playoffs, finals) 
 (springfield, clement, stein, markus, thumbs, bears, bruins, masks, finnish, 199293, mainframe, flyers, nhl, scratches, playoff, goalie, goalies, cordless, maple, puck, potvin) 
 ","(providence, keenan, hawks, darren, champs, ahl, smythe, sharks, espn, oilers, bure, goaltending, cats, referee, leafs, tampa, norris, hartford, franchise, blues, overtime, devils, playoffs, finals) 
 ","(gant, duke, padres, cubs, marlins, slg, pitching, stephcsuiucedu, runners, cincinnati, orioles, pct, stephenson, fielder, ops, sn, sox, brewers, bats, sanders, pilots, braves, mariners, twins, tigers, mets, ip) 
 (motto,  
 (providence, keenan, hawks, darren, champs, ahl, smythe, sharks, espn, oilers, bure, goaltending, cats, referee, leafs, tampa, norris, hartford, franchise, blues, overtime, devils, playoffs, finals) 
 (springfield, clement, stein, markus, thumbs, bears, bruins, masks, finnish, 199293, mainframe, flyers, nhl, scratches, playoff, goalie, goalies, cordless, maple, puck, potvin) 
 ",providence keenan hawks darren champs ahl smythe sharks espn oilers bure goaltending cats referee leafs tampa norris hartford franchise blues overtime devils playoffs finals (
sci,"(comm,  
 (eff, wiretapping) 
 (playback, ciphertext, cryptanalysis, n2, escrow, nist, publickey, computational, nsa, 80bit, r3, des, skipjack, pmetzgershearsoncom, sectors, n1, xyz, pgp, plaintext, hash, encrypted, 64bit, acm, rsa, authentication, sk, ra, mud, intersection) 
 (sdk,  
 ","(eff, wiretapping) 
 (playback, ciphertext, cryptanalysis, n2, escrow, nist, publickey, computational, nsa, 80bit, r3, des, skipjack, pmetzgershearsoncom, sectors, n1, xyz, pgp, plaintext, hash, encrypted, 64bit, acm, rsa, authentication, sk, ra, mud, intersection) 
 ","(comm,  
 (eff, wiretapping) 
 (playback, ciphertext, cryptanalysis, n2, escrow, nist, publickey, computational, nsa, 80bit, r3, des, skipjack, pmetzgershearsoncom, sectors, n1, xyz, pgp, plaintext, hash, encrypted, 64bit, acm, rsa, authentication, sk, ra, mud, intersection) 
 (sdk,  
 ",eff wiretapping (playback ciphertext cryptanalysis n2 escrow nist publickey computational nsa 80bit r3 des skipjack pmetzgershearsoncom sectors n1 xyz pgp plaintext hash encrypted 64bit acm rsa authentication sk ra mud intersection)
sci,"(ham, amp, reactor, watts, amplifier, amps) 
 (huntsville, intergraph, login, automation, appletalk) 
 (mitsubishi,  
 (rtfmmitedu, synchronous, s2, asynchronous, newsanswers, op, null, photographic, gears, ieee, converters, mining, decoder, resistor, rc, decrypted, interfaces, shifting, void, noncommercial) 
 (spaceflight, ssto, innovative, jsh, titan, orbits, atlas) 
 ","(ham, amp, reactor, watts, amplifier, amps) 
 ","(ham, amp, reactor, watts, amplifier, amps) 
 (huntsville, intergraph, login, automation, appletalk) 
 (mitsubishi,  
 (rtfmmitedu, synchronous, s2, asynchronous, newsanswers, op, null, photographic, gears, ieee, converters, mining, decoder, resistor, rc, decrypted, interfaces, shifting, void, noncommercial) 
 (spaceflight, ssto, innovative, jsh, titan, orbits, atlas) 
 ",ham amp reactor watts amplifier amps (
sci,"(convertible,  
 (corn, allergies) 
 (fishing,  
 (gebcadredslpittedu, migraine, intellect, n3jxp, chastity, skepticism, shameful, surrender, simms, banks, kirlian, gordon, fda, clinic, flavor, therapies, ozone, seizures, placebo, grounded, smuggling, ama, regulated) 
 (intake, calcium, antibiotic, vaginal, kidney, quack, pumped, radioactive, gi, substances, antibiotics, nontoxic) 
 (mineral, uv, patients, marriage, atmospheric, sexual, shuttle, drug, professor, cellular, nasa, booster, ride, insurance, disorder, agencies, angeles, disease, biological, participants, infection, fluid, clinical, revealing, segment, physics, drugs, doctors, medicine, transmission, phd, fatal, symptoms, immune, oxygen, francisco, atmosphere, patient, diet, 97, stanford, scientists) 
 ","(gebcadredslpittedu, migraine, intellect, n3jxp, chastity, skepticism, shameful, surrender, simms, banks, kirlian, gordon, fda, clinic, flavor, therapies, ozone, seizures, placebo, grounded, smuggling, ama, regulated) 
 ","(convertible,  
 (corn, allergies) 
 (fishing,  
 (gebcadredslpittedu, migraine, intellect, n3jxp, chastity, skepticism, shameful, surrender, simms, banks, kirlian, gordon, fda, clinic, flavor, therapies, ozone, seizures, placebo, grounded, smuggling, ama, regulated) 
 (intake, calcium, antibiotic, vaginal, kidney, quack, pumped, radioactive, gi, substances, antibiotics, nontoxic) 
 (mineral, uv, patients, marriage, atmospheric, sexual, shuttle, drug, professor, cellular, nasa, booster, ride, insurance, disorder, agencies, angeles, disease, biological, participants, infection, fluid, clinical, revealing, segment, physics, drugs, doctors, medicine, transmission, phd, fatal, symptoms, immune, oxygen, francisco, atmosphere, patient, diet, 97, stanford, scientists) 
 ",gebcadredslpittedu migraine intellect n3jxp chastity skepticism shameful surrender simms banks kirlian gordon fda clinic flavor therapies ozone seizures placebo grounded smuggling ama regulated (
sci,"(celestial, creationist, psalm, acknowledgement, fallacy, baptism, israelites, homosexuals, syntax, congregation, cor, shalt, husbands, scripture, psalms, commandments, resurrection, jokes, thou, publisher, sects, deed, justifiable, atheists, unconditional, atheism, moderated, tongues, documentary, arrogance, christianity, species, rigorous, religions, discarded) 
 (dryden, shafer, athletes, ames, powerpc, prize, balls, frequencies, insisting, deficit, goddard, curtis, munich, distances, fm) 
 (playback, ciphertext, cryptanalysis, n2, escrow, nist, publickey, computational, nsa, 80bit, r3, des, skipjack, pmetzgershearsoncom, sectors, n1, xyz, pgp, plaintext, hash, encrypted, 64bit, acm, rsa, authentication, sk, ra, mud, intersection) 
 (reboost, fusion, astronomers, galactic, pasadena, galaxy, astronauts, gamma, billboards, inflatable, flyby, telescope, hst, billboard, photography, aviation, orbit, km, observatory, venus, payloads, altitude, voyager, missions, pluto, annually, cargo, neutron, lunar, orbiter, interstellar, planets, spacecraft, reentry, modelling, orbital, atoms, velocity, interplanetary, jupiter, payload, hubble, dawn, propulsion, earths) 
 (scanners,  
 (springfield, clement, stein, markus, thumbs, bears, bruins, masks, finnish, 199293, mainframe, flyers, nhl, scratches, playoff, goalie, goalies, cordless, maple, puck, potvin) 
 ","(springfield, clement, stein, markus, thumbs, bears, bruins, masks, finnish, 199293, mainframe, flyers, nhl, scratches, playoff, goalie, goalies, cordless, maple, puck, potvin) 
 ","(celestial, creationist, psalm, acknowledgement, fallacy, baptism, israelites, homosexuals, syntax, congregation, cor, shalt, husbands, scripture, psalms, commandments, resurrection, jokes, thou, publisher, sects, deed, justifiable, atheists, unconditional, atheism, moderated, tongues, documentary, arrogance, christianity, species, rigorous, religions, discarded) 
 (dryden, shafer, athletes, ames, powerpc, prize, balls, frequencies, insisting, deficit, goddard, curtis, munich, distances, fm) 
 (playback, ciphertext, cryptanalysis, n2, escrow, nist, publickey, computational, nsa, 80bit, r3, des, skipjack, pmetzgershearsoncom, sectors, n1, xyz, pgp, plaintext, hash, encrypted, 64bit, acm, rsa, authentication, sk, ra, mud, intersection) 
 (reboost, fusion, astronomers, galactic, pasadena, galaxy, astronauts, gamma, billboards, inflatable, flyby, telescope, hst, billboard, photography, aviation, orbit, km, observatory, venus, payloads, altitude, voyager, missions, pluto, annually, cargo, neutron, lunar, orbiter, interstellar, planets, spacecraft, reentry, modelling, orbital, atoms, velocity, interplanetary, jupiter, payload, hubble, dawn, propulsion, earths) 
 (scanners,  
 (springfield, clement, stein, markus, thumbs, bears, bruins, masks, finnish, 199293, mainframe, flyers, nhl, scratches, playoff, goalie, goalies, cordless, maple, puck, potvin) 
 ",springfield clement stein markus thumbs bears bruins masks finnish 199293 mainframe flyers nhl scratches playoff goalie goalies cordless maple puck potvin (
soc,"(av,  
 (celestial, creationist, psalm, acknowledgement, fallacy, baptism, israelites, homosexuals, syntax, congregation, cor, shalt, husbands, scripture, psalms, commandments, resurrection, jokes, thou, publisher, sects, deed, justifiable, atheists, unconditional, atheism, moderated, tongues, documentary, arrogance, christianity, species, rigorous, religions, discarded) 
 (divorce, sinless, moses, infallible, corinthians, baptized, saints, disciples, persecution, preached) 
 (ipx,  
 (texture,  
 ","(celestial, creationist, psalm, acknowledgement, fallacy, baptism, israelites, homosexuals, syntax, congregation, cor, shalt, husbands, scripture, psalms, commandments, resurrection, jokes, thou, publisher, sects, deed, justifiable, atheists, unconditional, atheism, moderated, tongues, documentary, arrogance, christianity, species, rigorous, religions, discarded) 
 ","(av,  
 (celestial, creationist, psalm, acknowledgement, fallacy, baptism, israelites, homosexuals, syntax, congregation, cor, shalt, husbands, scripture, psalms, commandments, resurrection, jokes, thou, publisher, sects, deed, justifiable, atheists, unconditional, atheism, moderated, tongues, documentary, arrogance, christianity, species, rigorous, religions, discarded) 
 (divorce, sinless, moses, infallible, corinthians, baptized, saints, disciples, persecution, preached) 
 (ipx,  
 (texture,  
 ",celestial creationist psalm acknowledgement fallacy baptism israelites homosexuals syntax congregation cor shalt husbands scripture psalms commandments resurrection jokes thou publisher sects deed justifiable atheists unconditional atheism moderated tongues documentary arrogance christianity species rigorous religions discarded (
talk,"(astros,  
 (examiner, parliament, redesign, brady, republicans, batf, stove, noknock, exec, standoff, rkba, goverment, settlements, mute, cooking, atf, bds, cruel, koreshs) 
 (federalist, unregistered, tyranny, mom, wright, shotguns, handguns, antigun) 
 (fires,  
 ","(federalist, unregistered, tyranny, mom, wright, shotguns, handguns, antigun) 
 ","(astros,  
 (examiner, parliament, redesign, brady, republicans, batf, stove, noknock, exec, standoff, rkba, goverment, settlements, mute, cooking, atf, bds, cruel, koreshs) 
 (federalist, unregistered, tyranny, mom, wright, shotguns, handguns, antigun) 
 (fires,  
 ",federalist unregistered tyranny mom wright shotguns handguns antigun (
talk,"(arab, rebellion, syrian, massacred, zionist, gaza, tribe, agriculture, madness, palestinians, arabs, israelis, palestinian, zionism, antisemitism, egypt, hotels, 1948, nationality, polish, hotel, bye, plo, hasan) 
 (gant, duke, padres, cubs, marlins, slg, pitching, stephcsuiucedu, runners, cincinnati, orioles, pct, stephenson, fielder, ops, sn, sox, brewers, bats, sanders, pilots, braves, mariners, twins, tigers, mets, ip) 
 (intercourse, promiscuous, homosexual, cramer, pastor, homosexuality, heterosexual, pauls, gay, protestant, biases, heterosexuals, slavery, denominations, josephus, sanctions, torah, judaism) 
 (karabag, armenian, karabakh, azerbaijan, armenia, azeris, azerbaijani, azeri, nagornokarabakh, province, iranian, grandparents, parliamentary, stalin, specialty, 1939) 
 (lebanese, drawer, clothing, challenges, occupying, casualties, armored, withdrawal, territories) 
 (roenick, belfour) 
 ","(arab, rebellion, syrian, massacred, zionist, gaza, tribe, agriculture, madness, palestinians, arabs, israelis, palestinian, zionism, antisemitism, egypt, hotels, 1948, nationality, polish, hotel, bye, plo, hasan) 
 ","(arab, rebellion, syrian, massacred, zionist, gaza, tribe, agriculture, madness, palestinians, arabs, israelis, palestinian, zionism, antisemitism, egypt, hotels, 1948, nationality, polish, hotel, bye, plo, hasan) 
 (gant, duke, padres, cubs, marlins, slg, pitching, stephcsuiucedu, runners, cincinnati, orioles, pct, stephenson, fielder, ops, sn, sox, brewers, bats, sanders, pilots, braves, mariners, twins, tigers, mets, ip) 
 (intercourse, promiscuous, homosexual, cramer, pastor, homosexuality, heterosexual, pauls, gay, protestant, biases, heterosexuals, slavery, denominations, josephus, sanctions, torah, judaism) 
 (karabag, armenian, karabakh, azerbaijan, armenia, azeris, azerbaijani, azeri, nagornokarabakh, province, iranian, grandparents, parliamentary, stalin, specialty, 1939) 
 (lebanese, drawer, clothing, challenges, occupying, casualties, armored, withdrawal, territories) 
 (roenick, belfour) 
 ",arab rebellion syrian massacred zionist gaza tribe agriculture madness palestinians arabs israelis palestinian zionism antisemitism egypt hotels 1948 nationality polish hotel bye plo hasan (
talk,"(croats, redraw, shelling, serbs, bosnians, yugoslavia, stimulus, upi, bosnian, libertarians, democrats, embargo, serbian, serbia, edt, aggression, investments, senate, militarily) 
 (hiring,  
 (intercourse, promiscuous, homosexual, cramer, pastor, homosexuality, heterosexual, pauls, gay, protestant, biases, heterosexuals, slavery, denominations, josephus, sanctions, torah, judaism) 
 (marijuana, cocaine) 
 (yankee,  
 ","(hiring,  
 (intercourse, promiscuous, homosexual, cramer, pastor, homosexuality, heterosexual, pauls, gay, protestant, biases, heterosexuals, slavery, denominations, josephus, sanctions, torah, judaism) 
 ","(croats, redraw, shelling, serbs, bosnians, yugoslavia, stimulus, upi, bosnian, libertarians, democrats, embargo, serbian, serbia, edt, aggression, investments, senate, militarily) 
 (hiring,  
 (intercourse, promiscuous, homosexual, cramer, pastor, homosexuality, heterosexual, pauls, gay, protestant, biases, heterosexuals, slavery, denominations, josephus, sanctions, torah, judaism) 
 (marijuana, cocaine) 
 (yankee,  
 ",hiring (intercourse promiscuous homosexual cramer pastor homosexuality heterosexual pauls gay protestant biases heterosexuals slavery denominations josephus sanctions torah judaism)
talk,"(allah,  
 (celestial, creationist, psalm, acknowledgement, fallacy, baptism, israelites, homosexuals, syntax, congregation, cor, shalt, husbands, scripture, psalms, commandments, resurrection, jokes, thou, publisher, sects, deed, justifiable, atheists, unconditional, atheism, moderated, tongues, documentary, arrogance, christianity, species, rigorous, religions, discarded) 
 (divorce, sinless, moses, infallible, corinthians, baptized, saints, disciples, persecution, preached) 
 (fishing,  
 (hiring,  
 (majors, appointment) 
 (tranny,  
 ",,"(allah,  
 (celestial, creationist, psalm, acknowledgement, fallacy, baptism, israelites, homosexuals, syntax, congregation, cor, shalt, husbands, scripture, psalms, commandments, resurrection, jokes, thou, publisher, sects, deed, justifiable, atheists, unconditional, atheism, moderated, tongues, documentary, arrogance, christianity, species, rigorous, religions, discarded) 
 (divorce, sinless, moses, infallible, corinthians, baptized, saints, disciples, persecution, preached) 
 (fishing,  
 (hiring,  
 (majors, appointment) 
 (tranny,  
 ",
