,acc,f1,kappa,prec,recall
awful,0.765059379,0.745268383,0.527508142,0.763994911,0.727437916
female,0.754399771,0.734102703,0.506141838,0.751268231,0.717704074
waiting,0.735369867,0.707288122,0.466677998,0.739900662,0.677429134
reading,0.764558592,0.741781091,0.525913131,0.768742885,0.716646452
longer,0.743382458,0.714023758,0.48241886,0.752858104,0.678999242
previous,0.74853341,0.720921,0.49297331,0.755659121,0.689236375
ten,0.738374589,0.710657489,0.472671204,0.741823588,0.682004556
slightly,0.742667048,0.712860222,0.480783893,0.750420168,0.678880949
cover,0.737945343,0.71416309,0.472493424,0.731691717,0.697454656
leading,0.739805408,0.712603714,0.47548751,0.739665354,0.687452356
reasons,0.754829017,0.726910511,0.505290184,0.761054564,0.695698597
audiences,0.765774789,0.74397873,0.528381673,0.763195893,0.725705568
include,0.758906854,0.733681049,0.513866327,0.758125102,0.710764048
country,0.750393475,0.726331477,0.497126461,0.743655638,0.709796106
create,0.753755902,0.726782029,0.503121645,0.751971091,0.703225806
rent,0.775075118,0.752479924,0.546566864,0.770061231,0.735683498
realistic,0.773286593,0.7506099,0.54297923,0.767584098,0.734370188
english,0.786235513,0.766781143,0.569537897,0.776969314,0.756856703
created,0.761339247,0.733375959,0.51787948,0.760862355,0.707806233
focus,0.751895836,0.723621294,0.498974792,0.747940692,0.700833591
business,0.750894262,0.723299428,0.497131916,0.744966443,0.702857143
effective,0.761267706,0.734463277,0.517981879,0.757426555,0.712851406
includes,0.75432823,0.726548814,0.503911138,0.749466075,0.704991501
touch,0.74567177,0.71452662,0.485817082,0.742861914,0.688273515
return,0.754900558,0.728138391,0.505259677,0.746866352,0.710326676
trouble,0.743167835,0.710296966,0.480376224,0.741658241,0.681480334
kill,0.781799971,0.761569731,0.560468094,0.768781566,0.754491945
town,0.761267706,0.736974856,0.518518145,0.748239437,0.726044417
comic,0.775504364,0.751347068,0.546874476,0.766408018,0.736866646
hot,0.751824295,0.72338729,0.498591196,0.741539971,0.706102117
amount,0.750822721,0.716760185,0.495093961,0.749617282,0.686662512
sweet,0.776005151,0.751842752,0.547832554,0.765,0.739130435
possibly,0.751251967,0.719709794,0.496589812,0.745117677,0.695977549
evil,0.787523251,0.76473384,0.571104742,0.776669348,0.753159619
pure,0.749606525,0.718468468,0.493386185,0.740998839,0.69726776
depth,0.76083846,0.730468435,0.515894107,0.75374376,0.708587518
loves,0.76083846,0.733731581,0.516798803,0.747363297,0.720588235
commentary,0.772714265,0.744880752,0.540204233,0.764841689,0.725935201
awesome,0.792173415,0.766535401,0.57951757,0.787743641,0.746439192
husband,0.781943053,0.758248731,0.559707275,0.767378391,0.749333751
hero,0.760409214,0.732358347,0.51560794,0.744919525,0.720213769
predictable,0.767706396,0.739175837,0.529957518,0.755252791,0.723769073
attempts,0.743740163,0.708875163,0.480462934,0.732941176,0.686339314
admit,0.762483903,0.728580772,0.517987464,0.757565454,0.701732283
rich,0.752253541,0.722003693,0.498681182,0.734204082,0.710202148
successful,0.752468164,0.720426632,0.498542291,0.736737729,0.704822134
fight,0.764272428,0.731655672,0.521806104,0.754070841,0.710534641
god,0.762841608,0.730859787,0.519137414,0.75004166,0.712634579
meant,0.755615968,0.719355899,0.503471602,0.747354046,0.693379791
members,0.758906854,0.729273779,0.512048479,0.739973916,0.718878682
hilarious,0.800758335,0.775385112,0.596471928,0.789715788,0.761565272
total,0.748390328,0.713015096,0.489347325,0.734162326,0.69305203
horrible,0.782157676,0.755676803,0.559174422,0.763580347,0.747935197
odd,0.747746459,0.713845155,0.488493327,0.729353234,0.698982835
filmmakers,0.763199313,0.736086749,0.521350863,0.738441849,0.733746622
shame,0.737945343,0.699778707,0.467678863,0.722212824,0.678696343
talented,0.760266132,0.72859804,0.514044135,0.742244224,0.715444568
presence,0.744455573,0.706780496,0.480722127,0.729537367,0.685400414
missed,0.749105738,0.711856051,0.490064364,0.734735414,0.690358566
sequence,0.756331378,0.7249677,0.506312326,0.734817482,0.715378486
die,0.75289741,0.719141324,0.498706199,0.733698357,0.705150694
pictures,0.74710259,0.712858419,0.48704487,0.726249586,0.699952145
cinematic,0.766847904,0.737156222,0.527714487,0.745392269,0.729100191
impressive,0.754471312,0.718365337,0.501051357,0.739483021,0.698420297
track,0.753326656,0.717098786,0.498685254,0.736061984,0.699088146
spent,0.743239376,0.704924772,0.477966352,0.724522562,0.68635927
product,0.757046788,0.723587824,0.506972471,0.735683548,0.711883408
heavy,0.744455573,0.707213115,0.480723715,0.724068479,0.69112464
pace,0.748461869,0.708021923,0.487602032,0.734873298,0.683063612
share,0.751323508,0.715780867,0.49488457,0.7295,0.702568218
key,0.757619116,0.718230206,0.506062088,0.745125108,0.693209183
era,0.778866791,0.753724803,0.553103124,0.747235387,0.760327922
popular,0.752110459,0.719728221,0.497528579,0.724238971,0.715273312
remains,0.753040492,0.718479856,0.498577215,0.72701766,0.710140255
tone,0.753684361,0.717763751,0.499360832,0.729666667,0.706242942
aspect,0.750178852,0.711166253,0.491305324,0.729014753,0.694170838
issues,0.765774789,0.73207856,0.524076291,0.741176471,0.723201293
involving,0.750107311,0.710772543,0.491021226,0.728321738,0.694049159
immediately,0.751323508,0.710959588,0.493053689,0.731394354,0.691635658
agree,0.75718987,0.720796315,0.506093206,0.733099063,0.708899676
delivers,0.765631707,0.729166667,0.522780046,0.745310123,0.71370772
pick,0.751895836,0.711864407,0.494288754,0.73105802,0.69365285
oscar,0.789454858,0.757957069,0.571737212,0.770053476,0.746234818
likes,0.744527114,0.704019892,0.4795098,0.720563285,0.688219089
presented,0.753970525,0.718184053,0.499925255,0.726338472,0.710210697
cheap,0.759264559,0.726133312,0.511383669,0.728921569,0.723366305
fully,0.752825869,0.712538481,0.495998597,0.731340734,0.69467878
date,0.763986264,0.724785184,0.518486501,0.745879121,0.704851533
credit,0.751323508,0.708780161,0.492201176,0.732594389,0.686465433
potential,0.750894262,0.710412508,0.492097273,0.728590925,0.693119117
incredible,0.76799256,0.731917004,0.527552111,0.74578841,0.718552183
ability,0.754614394,0.71449975,0.499567596,0.732298243,0.697545913
crazy,0.759979969,0.722566774,0.511173328,0.73490328,0.710637606
sees,0.757261411,0.721130928,0.506265017,0.727649693,0.714727924
beautifully,0.7867363,0.757661979,0.567248133,0.754900373,0.760443864
places,0.738803835,0.694808994,0.466754403,0.712009594,0.67841985
fit,0.755258263,0.711478452,0.499385836,0.735868807,0.688653061
premise,0.771855773,0.737768276,0.535888079,0.743207422,0.732408163
leaving,0.747961082,0.704817763,0.485175957,0.723550662,0.687030382
company,0.734082129,0.693594922,0.458745685,0.699767132,0.687530642
weak,0.746101016,0.70481577,0.48219316,0.717527519,0.692546584
wrote,0.742237802,0.702649171,0.475196339,0.708083832,0.697297297
killed,0.785448562,0.754763268,0.564073516,0.753223437,0.756309407
outstanding,0.780512234,0.746194573,0.552877682,0.753047253,0.739465486
terms,0.753183574,0.711634905,0.496038965,0.725460123,0.698326772
extra,0.760695378,0.719355651,0.510949782,0.735460628,0.703940887
addition,0.752253541,0.709942206,0.493885607,0.724444444,0.696009197
standard,0.750679639,0.7058327,0.489772935,0.725616106,0.687099425
war,0.779868365,0.741363369,0.549913015,0.757731959,0.725687017
details,0.765488625,0.725414642,0.520884611,0.738655749,0.712639895
received,0.778509086,0.746354252,0.549790701,0.742824527,0.749917682
state,0.751895836,0.707588533,0.492345764,0.724948169,0.691040843
game,0.763342395,0.722855228,0.516470652,0.735549872,0.710591336
puts,0.748247246,0.703213292,0.484829428,0.719785912,0.687386645
write,0.750679639,0.708294969,0.490680977,0.718458142,0.698415319
romantic,0.784876234,0.750973085,0.561628535,0.75240624,0.749545379
incredibly,0.748461869,0.702739263,0.484913044,0.71840968,0.687737879
spend,0.750894262,0.707050311,0.49047367,0.718782073,0.695695364
force,0.76226928,0.719412311,0.513317409,0.733723734,0.705648501
honest,0.755615968,0.714953271,0.501099176,0.720242098,0.709741551
common,0.750608098,0.704676381,0.4890442,0.721047157,0.689032472
bunch,0.766275576,0.729216743,0.523628696,0.72939811,0.729035466
expecting,0.756116755,0.711907378,0.500602817,0.725706409,0.698623321
minor,0.742380884,0.695269527,0.472300835,0.709499136,0.681599469
daughter,0.752038918,0.712174057,0.494379081,0.71122906,0.71312157
visual,0.776720561,0.736290663,0.542759088,0.746828934,0.726045659
beauty,0.773644298,0.737296579,0.538458035,0.734491315,0.740123354
clever,0.777006725,0.738703999,0.544229153,0.74262599,0.734823215
appeal,0.744312491,0.698650927,0.476655951,0.706514325,0.69096064
compelling,0.778151381,0.743867184,0.548241492,0.736626861,0.751251251
car,0.767205609,0.729059117,0.524997347,0.727363349,0.730762811
smart,0.772499642,0.732187974,0.534475752,0.738406659,0.726073159
edge,0.76584633,0.722462478,0.520043621,0.733597382,0.711660541
dull,0.745886393,0.70015195,0.47970574,0.707196453,0.693246406
ridiculous,0.76584633,0.72786231,0.522400585,0.723590676,0.732184677
america,0.75432823,0.714878778,0.499088935,0.709459459,0.720381526
mentioned,0.754972099,0.711141098,0.498413067,0.716154238,0.706197655
editing,0.758334526,0.716086737,0.505727654,0.71825999,0.713926596
worthy,0.756116755,0.709055219,0.499241269,0.721807124,0.696746058
offer,0.741093146,0.689755679,0.467793457,0.70529453,0.674886764
adds,0.75361282,0.703308063,0.492900216,0.722733711,0.684899329
sadly,0.736442982,0.68684121,0.4593803,0.69535284,0.678535438
added,0.761625411,0.714138641,0.509862721,0.728769042,0.700084104
sequences,0.766204035,0.723003899,0.520771507,0.728561667,0.717530283
younger,0.757762198,0.716367901,0.50498942,0.712904301,0.71986532
decides,0.756689083,0.717548376,0.503919386,0.707964602,0.727395184
biggest,0.759622264,0.713750213,0.506620939,0.722116876,0.705575206
television,0.753898984,0.711892797,0.497120468,0.707743547,0.716090986
generally,0.742523966,0.690088694,0.470053654,0.705581969,0.675261207
romance,0.774860495,0.737684421,0.540544891,0.728634942,0.746961512
provide,0.747031049,0.698242021,0.480525943,0.705953408,0.690697282
meaning,0.757476034,0.71045439,0.501858953,0.718555632,0.702533784
office,0.770782658,0.729528955,0.53064707,0.728422117,0.730639161
ended,0.755329804,0.705831756,0.496503141,0.717935258,0.694129589
respect,0.755329804,0.708191126,0.497573469,0.714162795,0.702318497
annoying,0.762555444,0.716784709,0.512395325,0.722269991,0.711382114
horror,0.81127486,0.768718218,0.609640213,0.796077719,0.74317681
finding,0.741951638,0.689667039,0.468900128,0.69947644,0.680128967
convincing,0.755472886,0.709007322,0.498152198,0.710822806,0.707201087
trailer,0.773143511,0.730929147,0.534838259,0.729752626,0.732109468
exciting,0.765059379,0.717286501,0.516361624,0.726416739,0.708382928
buying,0.775862069,0.731786662,0.539295736,0.736388697,0.72724179
fresh,0.756903706,0.708676269,0.500120536,0.712954977,0.704448611
barely,0.747889541,0.695155709,0.480306355,0.705655076,0.6849642
subtle,0.768135642,0.723251644,0.523744526,0.724055394,0.722449676
public,0.761196165,0.718312236,0.511103571,0.710517529,0.726279863
included,0.776219774,0.732786605,0.540294297,0.732786605,0.732786605
ride,0.765631707,0.7187017,0.517852469,0.722423615,0.71501794
basic,0.751681213,0.699766456,0.48811235,0.70865452,0.691098582
flat,0.754185148,0.704607978,0.494133407,0.708873897,0.700393095
mix,0.752611246,0.701071923,0.490112163,0.709288088,0.693043924
reviewers,0.764057805,0.717540254,0.514961871,0.719018194,0.716068376
mood,0.760695378,0.712258065,0.507446711,0.716759003,0.707813301
control,0.755329804,0.705375603,0.496193552,0.710393892,0.700427716
literally,0.753541279,0.701912261,0.491877729,0.70933893,0.694639493
thinks,0.753040492,0.702772516,0.491547959,0.706544321,0.699040767
portrayed,0.776291315,0.732940473,0.540479063,0.730134422,0.735768176
development,0.76799256,0.71929369,0.521613785,0.725890985,0.712815234
masterpiece,0.769280298,0.724099581,0.525848501,0.721937905,0.726274241
knowing,0.753541279,0.698679262,0.490288867,0.711055724,0.686726272
fails,0.751180426,0.70232797,0.488595009,0.698977853,0.705710354
air,0.760409214,0.709817174,0.505811134,0.714460143,0.70523416
tough,0.764272428,0.71621738,0.514626703,0.716402481,0.716032375
blood,0.786235513,0.741701245,0.559376068,0.744145707,0.73927279
fair,0.750465016,0.695104895,0.483987419,0.705089555,0.685399069
inspired,0.758119903,0.711543384,0.503327825,0.704272927,0.718965517
quick,0.760337673,0.708999305,0.50529782,0.714460784,0.70362069
engaging,0.764272428,0.71621738,0.514627255,0.715293308,0.717143843
intelligent,0.765774789,0.718292893,0.517854695,0.716320577,0.7202761
purchase,0.777078266,0.733902647,0.542138595,0.726212608,0.741757293
considered,0.742595507,0.690361446,0.470115308,0.688229238,0.692506906
opportunity,0.736943769,0.68200294,0.45770023,0.682652355,0.681354761
speak,0.747889541,0.695102959,0.480199591,0.694022115,0.696187175
avoid,0.746959508,0.694902096,0.478752618,0.691502146,0.698335645
stands,0.751251967,0.697204563,0.4861374,0.699947543,0.694482998
situations,0.756259837,0.706823853,0.498278168,0.700972862,0.712773343
song,0.771998855,0.724093152,0.529825815,0.722030387,0.726167737
parents,0.776720561,0.730320574,0.539832614,0.725493562,0.735212248
impossible,0.744670196,0.687395988,0.471610293,0.69048038,0.68433903
content,0.758978395,0.709042232,0.503363987,0.701829373,0.716404887
alive,0.752110459,0.699140401,0.488371212,0.695456901,0.702863128
fascinating,0.780512234,0.737463632,0.549027821,0.722865291,0.752663755
manner,0.750107311,0.696234455,0.483993841,0.692680395,0.699825175
ideas,0.756689083,0.704286584,0.497611563,0.700570835,0.708041958
stage,0.753827443,0.700078445,0.491321586,0.697827976,0.702343477
decide,0.743024753,0.686178578,0.468614827,0.684862225,0.6875
holds,0.751895836,0.69680014,0.486848056,0.695826785,0.697776221
catch,0.746816426,0.687836288,0.474899029,0.691802697,0.683915103
portrayal,0.779796824,0.735020661,0.546757926,0.721724429,0.748815997
helps,0.741808556,0.681942364,0.464655786,0.684536447,0.679367867
male,0.752968951,0.701116593,0.490686758,0.690772642,0.711775044
natural,0.753326656,0.698654081,0.489876326,0.694164641,0.70320197
girls,0.777078266,0.727574751,0.538961585,0.720644267,0.734639831
process,0.751681213,0.692859039,0.484453377,0.693411265,0.692307692
changed,0.761911575,0.707813872,0.506946606,0.701653612,0.71408326
equally,0.751323508,0.69282432,0.483932555,0.69099242,0.694665958
society,0.775790528,0.728892734,0.53795075,0.711174882,0.747515969
charm,0.771498068,0.7233674,0.528930515,0.706001691,0.74160895
century,0.776720561,0.728254245,0.538908926,0.713408393,0.743731104
cold,0.759264559,0.700596138,0.499304065,0.70040918,0.700783197
pass,0.744455573,0.68084346,0.467770726,0.682795699,0.678902352
dream,0.751609672,0.69415081,0.485101216,0.685455811,0.703069236
casting,0.774216626,0.718465656,0.530004181,0.716930746,0.720007152
image,0.754829017,0.696430153,0.490848819,0.689528153,0.703471725
directing,0.757476034,0.700477116,0.496785199,0.691435549,0.709758281
michael,0.731220489,0.668840899,0.442764497,0.658223456,0.679806486
social,0.770639576,0.720146648,0.52606927,0.701769309,0.73951237
conclusion,0.75504364,0.693684022,0.489609704,0.691827266,0.695550771
states,0.780655315,0.728912467,0.544798969,0.71774334,0.740434705
proves,0.758835313,0.700328918,0.498593727,0.693119831,0.707689544
adult,0.768493347,0.716786277,0.521243093,0.698686231,0.735849057
bottom,0.760337673,0.69955157,0.500219534,0.698049042,0.701060579
personally,0.766776363,0.708616375,0.51420839,0.704711111,0.712565163
folks,0.755186722,0.695443218,0.490825371,0.687368051,0.703710375
red,0.733366719,0.670030987,0.446451417,0.658430485,0.682047585
rarely,0.746101016,0.684729502,0.472287778,0.674247726,0.695542321
concept,0.763413936,0.706487974,0.508428871,0.694711119,0.718671
pull,0.762770067,0.699637681,0.503612644,0.701544051,0.697741644
pieces,0.762340821,0.702649481,0.504764814,0.694813241,0.710664494
treat,0.747317213,0.685541311,0.4744575,0.673665792,0.697843031
fear,0.76727715,0.70879957,0.51504555,0.700088417,0.717730239
brother,0.739376163,0.680466626,0.460801243,0.65913339,0.703226976
complex,0.774932036,0.720703125,0.53237526,0.705544933,0.736526946
laughs,0.807125483,0.758249641,0.597847917,0.749512498,0.767192887
musical,0.770353413,0.711538462,0.520818211,0.704323074,0.718903214
boys,0.764057805,0.707934821,0.510230141,0.69068602,0.726067212
opens,0.765703248,0.707458687,0.512153599,0.695957821,0.719346049
mark,0.737444556,0.662683824,0.447812526,0.670697674,0.654859219
james,0.748604951,0.688916431,0.478231708,0.671440897,0.707325941
street,0.751323508,0.690912324,0.483093697,0.674713442,0.707908163
critics,0.776076692,0.717304913,0.531948352,0.710757115,0.723974476
narrative,0.772714265,0.7187251,0.528318206,0.698142415,0.740558292
twist,0.766633281,0.706231988,0.512718457,0.697190612,0.715510949
compared,0.758477608,0.694590194,0.494884431,0.687623142,0.701699872
appearance,0.746458721,0.682380355,0.471534404,0.669421488,0.69585085
questions,0.776434397,0.718696552,0.533281714,0.707425128,0.730332967
color,0.765345543,0.705724027,0.510730772,0.691942294,0.72006591
project,0.746887967,0.682804375,0.472391004,0.668656716,0.697563656
suddenly,0.752539705,0.688294134,0.483212319,0.677247739,0.699706852
themes,0.769638003,0.714943343,0.522036646,0.691556773,0.739967015
lovely,0.759836887,0.701467319,0.500886911,0.680939227,0.723271594
team,0.765202461,0.701690602,0.508143449,0.694369491,0.709167738
studio,0.758048362,0.700548964,0.498020544,0.676008202,0.726938626
amusing,0.771426527,0.714859438,0.524395506,0.69458897,0.736348593
approach,0.747746459,0.685795758,0.475421442,0.665283541,0.707613093
notice,0.758334526,0.690262241,0.492143444,0.687739814,0.692803239
escape,0.756259837,0.693035409,0.491084144,0.678187269,0.708548268
pleasure,0.749391902,0.683644902,0.476289996,0.670504872,0.697310243
finish,0.75504364,0.687191668,0.485921681,0.681464033,0.693016399
detail,0.77092574,0.709279099,0.520359165,0.698248123,0.720664207
surprising,0.746315639,0.680194805,0.470159925,0.664844852,0.69627031
intended,0.749177279,0.679875822,0.473731104,0.672385768,0.687534626
hoping,0.755401345,0.686301496,0.485869872,0.681859617,0.690801625
lacks,0.75504364,0.689517592,0.487367964,0.676753293,0.702772643
aspects,0.765631707,0.703207103,0.509691972,0.689587775,0.717375231
condition,0.769566462,0.712230859,0.520488344,0.687715666,0.738558458
tired,0.763127772,0.695203903,0.501513184,0.690563277,0.699907322
soul,0.767706396,0.707714466,0.515253434,0.687598391,0.729043027
ready,0.752539705,0.684943984,0.481312415,0.67250939,0.697847068
plain,0.751967377,0.68381213,0.479869085,0.671863799,0.696193129
disc,0.801402203,0.746530314,0.583350356,0.734195402,0.759286776
documentary,0.808484762,0.752839073,0.596528262,0.748073394,0.757665861
spirit,0.766060953,0.706673843,0.512523401,0.682668977,0.732428412
loud,0.770424953,0.709513895,0.51995093,0.691303581,0.728709557
thrown,0.753040492,0.683128328,0.480882497,0.672996925,0.693569432
win,0.771498068,0.707026234,0.519816988,0.695919104,0.718493661
putting,0.751251967,0.676226837,0.474280057,0.673654917,0.678818471
values,0.733652883,0.66468522,0.444286478,0.640736239,0.690494012
motion,0.756760624,0.689554419,0.489828692,0.671886121,0.708177044
slowly,0.7637001,0.696275862,0.50302449,0.682900433,0.710185706
atmosphere,0.783946201,0.723999269,0.546697554,0.705557535,0.743430931
earth,0.771068822,0.70544919,0.51834149,0.692071519,0.719354233
theatrical,0.76155387,0.700995784,0.503363865,0.671075232,0.73370892
genuine,0.750608098,0.684867113,0.478999494,0.660160335,0.711495116
weird,0.779939906,0.720921793,0.539631567,0.696895282,0.746664161
hair,0.748962656,0.680738786,0.47426862,0.659090909,0.703857008
seemingly,0.757332952,0.685925926,0.488308449,0.674190025,0.698077648
held,0.751395049,0.677194612,0.475134961,0.666727639,0.68799547
plan,0.761840034,0.694727189,0.499746254,0.675584091,0.714986787
nicely,0.75003577,0.674976744,0.471986711,0.664712349,0.685563114
mess,0.772428101,0.708459353,0.522113844,0.68772242,0.73048573
secret,0.761696952,0.691030517,0.497193365,0.678506375,0.704025704
wide,0.745814852,0.675554744,0.467014398,0.65330272,0.699376064
producers,0.757046788,0.687407953,0.48894363,0.669775785,0.705993572
touching,0.78888253,0.730280596,0.557169285,0.706454465,0.755769958
party,0.742166261,0.670807453,0.459344287,0.647847565,0.695454545
suggest,0.750965803,0.677057241,0.474538642,0.663575195,0.691098485
tension,0.787952497,0.725301205,0.552768788,0.709776891,0.741519803
drawn,0.764630133,0.694067324,0.502920136,0.681270537,0.707354056
taste,0.753827443,0.681300361,0.48093513,0.666063021,0.697251185
exception,0.759407641,0.687133687,0.49180098,0.674520548,0.700227531
charming,0.790957218,0.732074088,0.561001758,0.708680987,0.75706429
wonderfully,0.771855773,0.707081841,0.52058441,0.684510048,0.731193009
double,0.746458721,0.676465218,0.468556635,0.650684932,0.704372624
producer,0.736800687,0.666182742,0.449692283,0.636994621,0.698174211
difference,0.762412362,0.688256829,0.496377583,0.679392142,0.697355906
post,0.744455573,0.67157043,0.462854485,0.648898365,0.695884146
culture,0.781513807,0.722212116,0.54277556,0.690795197,0.756622832
support,0.757690657,0.690373892,0.491887924,0.663154197,0.719923737
award,0.769995708,0.703823123,0.516169659,0.680926916,0.728312679
store,0.746601803,0.678175541,0.46997035,0.647691774,0.711670481
showed,0.759407641,0.689445009,0.493409727,0.668277837,0.711996948
writers,0.765202461,0.693900392,0.503617615,0.678708265,0.709788208
walk,0.751108885,0.67379278,0.472685604,0.662426254,0.685556192
sexual,0.794033481,0.736089467,0.567627364,0.708362738,0.766075176
faces,0.735512949,0.655355645,0.440963119,0.640488338,0.670929567
david,0.721276291,0.644330838,0.415897918,0.617389783,0.673730431
fire,0.746029475,0.668781489,0.463014163,0.653895275,0.684361276
vhs,0.799399056,0.746748555,0.581490893,0.708119219,0.78983569
lived,0.75862069,0.691928415,0.494146098,0.662528414,0.724058857
hasnt,0.760981542,0.688542929,0.49482644,0.67157665,0.706388676
werent,0.762412362,0.686609418,0.495352653,0.677467412,0.696001531
wild,0.756832165,0.688422404,0.48960568,0.660742566,0.718522771
lady,0.742380884,0.674677026,0.4625449,0.638836612,0.714777948
drive,0.753898984,0.680653546,0.480772794,0.660421546,0.702164336
ground,0.752825869,0.678395234,0.477934044,0.659786348,0.698084291
stunning,0.782300758,0.716798511,0.540227299,0.696887441,0.73788082
ahead,0.759979969,0.685890834,0.491844856,0.670510708,0.701993101
central,0.750679639,0.679893451,0.476326243,0.65215859,0.710092095
hits,0.761124624,0.688322599,0.494923243,0.669633127,0.70808527
born,0.74567177,0.674718638,0.466698604,0.64424253,0.708221283
step,0.753541279,0.676008652,0.477283761,0.662000368,0.690622598
featuring,0.748461869,0.675884956,0.470924016,0.649424269,0.704593504
positive,0.757261411,0.685629575,0.488350538,0.661896243,0.711128195
audio,0.807769352,0.748290398,0.592980923,0.728832117,0.768816169
impressed,0.76727715,0.695896046,0.507675927,0.676112625,0.716872111
suspense,0.822363714,0.763771287,0.621474756,0.754227734,0.773559453
mystery,0.786950923,0.719532869,0.547915236,0.703499079,0.736314572
beat,0.748175705,0.672497209,0.468343272,0.649883115,0.696741855
