unsupervised,ndcg,vector space input nnet,ndcg,bow input nnet,0,unsupervised vector diff,,unsupervised bow diff,,,
"108 (243, 233)",0.636485787,"108 (109, 95)",0.643934134,"108 (115, 56)",0.615950313,"108 (115, 56)",,"108 (115, 56)",0.020535474,,-0.007448347
"109 (112, 105)",0.675022895,"109 (107, 108)",0.690082744,"109 (148, partners)",0.687267461,"109 (148, partners)",,"109 (148, partners)",-0.012244566,,-0.015059849
"10k (voltage, xforce)",0.60314054,"10k (sept, cargo)",0.610076997,"10k (doors, prepared)",0.606000143,"10k (doors, prepared)",,"10k (doors, prepared)",-0.002859603,,-0.006936457
"10th (returns, 198)",0.613746792,"10th (doctors, simplified)",0.621032706,"10th (worthwhile, misuse)",0.601372748,"10th (worthwhile, misuse)",,"10th (worthwhile, misuse)",0.012374044,,-0.007285914
"11 (13, 12)",0.608195708,"11 (12, 15)",0.614815313,"11 (22, 25)",0.599347923,"11 (22, 25)",,"11 (22, 25)",0.008847785,,-0.006619605
"110 (38, 117)",0.564882145,"110 (towns, 184)",0.570265403,"110 (ticket, 99)",0.580586365,"110 (ticket, 99)",,"110 (ticket, 99)",-0.01570422,,-0.005383258
"1100 (chain, 312)",0.629226742,"1100 (swap, elevated)",0.646459776,"1100 (space, imho)",0.63281912,"1100 (space, imho)",,"1100 (space, imho)",-0.003592378,,-0.017233034
"111 (110, 44)",0.555206377,"111 (cannot, licensed)",0.56464248,"111 (129, 151)",0.552308841,"111 (129, 151)",,"111 (129, 151)",0.002897536,,-0.009436103
"112 (113, 109)",0.602959363,"112 (beforehand, 52)",0.610843197,"112 (18, couldnt)",0.624315462,"112 (18, couldnt)",,"112 (18, couldnt)",-0.021356099,,-0.007883834
"113 (112, 118)",0.602245366,"113 (paragraphs, 118)",0.612308397,"113 (108, 46)",0.58947464,"113 (108, 46)",,"113 (108, 46)",0.012770726,,-0.010063031
"114 (stuart, 135)",0.624816562,"114 (reader, openwindows)",0.629298879,"114 (74, 127)",0.629574407,"114 (74, 127)",,"114 (74, 127)",-0.004757845,,-0.004482317
"115 (134, 252)",0.555274772,"115 (loves, stealth)",0.557357062,"115 (108, 56)",0.562648668,"115 (108, 56)",,"115 (108, 56)",-0.007373896,,-0.00208229
"116 (104, 115)",0.631351208,"116 (robot, 119)",0.641394835,"116 (140, 134)",0.645688609,"116 (140, 134)",,"116 (140, 134)",-0.014337401,,-0.010043627
"117 (121, 110)",0.567160632,"117 (119, unaware)",0.573657521,"117 (76, 83)",0.575594,"117 (76, 83)",,"117 (76, 83)",-0.008433368,,-0.006496889
"118 (117, 113)",0.562859681,"118 (113, 109)",0.568012471,"118 (127, obey)",0.56599877,"118 (127, obey)",,"118 (127, obey)",-0.003139089,,-0.00515279
"119 (128, 117)",0.609086229,"119 (117, 124)",0.620936252,"119 (137, 147)",0.63884136,"119 (137, 147)",,"119 (137, 147)",-0.029755131,,-0.011850023
"12 (10, 40)",0.595886112,"12 (25, 10)",0.595820226,"12 (size, 67)",0.591844127,"12 (size, 67)",,"12 (size, 67)",0.004041985,,6.5886E-05
"120 (117, 130)",0.592179817,"120 (four, takes)",0.604389901,"120 (55, 100)",0.589479295,"120 (55, 100)",,"120 (55, 100)",0.002700522,,-0.012210084
"1200 (2400, baud)",0.537537108,"1200 (panel, naturally)",0.54059001,"1200 (fix, fine)",0.543405789,"1200 (fix, fine)",,"1200 (fix, fine)",-0.005868681,,-0.003052902
"121 (117, 135)",0.6186819,"121 (race, surprise)",0.625793577,"121 (choosing, philadelphia)",0.610066442,"121 (choosing, philadelphia)",,"121 (choosing, philadelphia)",0.008615458,,-0.007111677
"122 (102, 186)",0.566848131,"122 (init, 120)",0.573316739,"122 (104, 123)",0.573841778,"122 (104, 123)",,"122 (104, 123)",-0.006993647,,-0.006468608
"123 (124, 62)",0.594323817,"123 (rogers, databases)",0.603234311,"123 (105, 61)",0.615250582,"123 (105, 61)",,"123 (105, 61)",-0.020926765,,-0.008910494
"124 (chapters, 226)",0.582539817,"124 (119, 147)",0.587004548,"124 (136, 119)",0.578913158,"124 (136, 119)",,"124 (136, 119)",0.003626659,,-0.004464731
"125 (140, 10th)",0.600559409,"125 (temporary, beginning)",0.602407863,"125 (95, colorado)",0.583050044,"125 (95, colorado)",,"125 (95, colorado)",0.017509365,,-0.001848454
"1250 (253, 320)",0.585666526,"1250 (331, 253)",0.590898679,"1250 (218, 321)",0.582160088,"1250 (218, 321)",,"1250 (218, 321)",0.003506438,,-0.005232153
"126 (220, 129)",0.625471321,"126 (158, exterior)",0.644353755,"126 (121, violations)",0.643365232,"126 (121, violations)",,"126 (121, violations)",-0.017893911,,-0.018882434
"127 (149, 52)",0.578803798,"127 (incarnation, 165)",0.583483104,"127 (118, angry)",0.576864204,"127 (118, angry)",,"127 (118, angry)",0.001939594,,-0.004679306
"128 (115, 252)",0.580590968,"128 (repeated, descriptions)",0.580533601,"128 (95, added)",0.563752264,"128 (95, added)",,"128 (95, added)",0.016838704,,5.7367E-05
"1280x1024 (800x600, noninterlaced)",0.583632741,"1280x1024 (noninterlaced, 800x600)",0.588957595,"1280x1024 (noninterlaced, appletalk)",0.576222877,"1280x1024 (noninterlaced, appletalk)",,"1280x1024 (noninterlaced, appletalk)",0.007409864,,-0.005324854
"129 (133, 135)",0.564052487,"129 (135, 104)",0.575121821,"129 (111, 148)",0.567752145,"129 (111, 148)",,"129 (111, 148)",-0.003699658,,-0.011069334
"12mb (se30, esdi)",0.577864396,"12mb (605, 80mb)",0.578003942,"12mb (megs, download)",0.573600655,"12mb (megs, download)",,"12mb (megs, download)",0.004263741,,-0.000139546
"12v (resistor, volts)",0.6591849,"12v (5v, complain)",0.672881424,"12v (wolf, induce)",0.660319101,"12v (wolf, induce)",,"12v (wolf, induce)",-0.001134201,,-0.013696524
"13 (11, 15)",0.611522902,"13 (16, 10)",0.614883348,"13 (communications, knowing)",0.605435322,"13 (communications, knowing)",,"13 (communications, knowing)",0.00608758,,-0.003360446
"130 (120, 135)",0.581456219,"130 (wouldnt, facts)",0.589896921,"130 (90, 140)",0.600717461,"130 (90, 140)",,"130 (90, 140)",-0.019261242,,-0.008440702
"1300 (20mb, partner)",0.553777419,"1300 (returns, recover)",0.558279379,"1300 (pin, strictly)",0.560079711,"1300 (pin, strictly)",,"1300 (pin, strictly)",-0.006302292,,-0.00450196
"131 (691, pts)",0.576470234,"131 (kits, leagues)",0.582404889,"131 (132, 138)",0.565887202,"131 (132, 138)",,"131 (132, 138)",0.010583032,,-0.005934655
"132 (146, 302)",0.574705273,"132 (146, 148)",0.5851685,"132 (131, 138)",0.570983254,"132 (131, 138)",,"132 (131, 138)",0.003722019,,-0.010463227
"133 (129, 117)",0.584066836,"133 (vintage, weiss)",0.589620604,"133 (118, 127)",0.578129839,"133 (118, 127)",,"133 (118, 127)",0.005936997,,-0.005553768
"134 (115, 181)",0.570543016,"134 (121, hearing)",0.57917159,"134 (116, 107)",0.567330605,"134 (116, 107)",,"134 (116, 107)",0.003212411,,-0.008628574
"135 (121, 129)",0.579434357,"135 (149, ireland)",0.588083158,"135 (116, 61)",0.584132495,"135 (116, 61)",,"135 (116, 61)",-0.004698138,,-0.008648801
"136 (145, 142)",0.546630508,"136 (146, bats)",0.55665598,"136 (74, 124)",0.546044851,"136 (74, 124)",,"136 (74, 124)",0.000585657,,-0.010025472
"137 (108, 260)",0.576407374,"137 (154, 179)",0.587186093,"137 (143, 119)",0.57064693,"137 (143, 119)",,"137 (143, 119)",0.005760444,,-0.010778719
"138 (182, 493)",0.527554639,"138 (158, 119)",0.536199973,"138 (132, 131)",0.531121455,"138 (132, 131)",,"138 (132, 131)",-0.003566816,,-0.008645334
"139 (612, 58)",0.547587695,"139 (163, 132)",0.557740269,"139 (151, 108)",0.557683207,"139 (151, 108)",,"139 (151, 108)",-0.010095512,,-0.010152574
"14 (12, 16)",0.544105869,"14 (12, 1993)",0.545880828,"14 (rich, company)",0.558484463,"14 (rich, company)",,"14 (rich, company)",-0.014378594,,-0.001774959
"140 (120, preferred)",0.531829925,"140 (loads, algorithms)",0.538686518,"140 (116, granted)",0.53099554,"140 (116, granted)",,"140 (116, granted)",0.000834385,,-0.006856593
"1400 (doom, animal)",0.540598238,"1400 (anyways, namely)",0.54784967,"1400 (glenn, morris)",0.562452098,"1400 (glenn, morris)",,"1400 (glenn, morris)",-0.02185386,,-0.007251432
"141 (133, angles)",0.541984312,"141 (135, heap)",0.546298916,"141 (145, 76)",0.547626801,"141 (145, 76)",,"141 (145, 76)",-0.005642489,,-0.004314604
"142 (136, isaiah)",0.559584474,"142 (138, 137)",0.568539173,"142 (127, oakland)",0.566679434,"142 (127, oakland)",,"142 (127, oakland)",-0.00709496,,-0.008954699
"143 (152, 159)",0.568144578,"143 (182, 362)",0.572510029,"143 (137, 132)",0.577227435,"143 (137, 132)",,"143 (137, 132)",-0.009082857,,-0.004365451
"144 (153, matching)",0.54768683,"144 (v32, 386sx)",0.551007764,"144 (121, philadelphia)",0.545269499,"144 (121, philadelphia)",,"144 (121, philadelphia)",0.002417331,,-0.003320934
"144k (v32bis, hst)",0.539901902,"144k (9600, raytracing)",0.549415186,"144k (download, compatable)",0.548332368,"144k (download, compatable)",,"144k (download, compatable)",-0.008430466,,-0.009513284
"145 (136, 149)",0.546826069,"145 (136, 147)",0.555252308,"145 (141, 132)",0.556798926,"145 (141, 132)",,"145 (141, 132)",-0.009972857,,-0.008426239
"146 (132, 302)",0.531392101,"146 (132, 136)",0.521725011,"146 (148, 132)",0.52638271,"146 (148, 132)",,"146 (148, 132)",0.005009391,,0.00966709
"147 (182, 138)",0.591262799,"147 (124, 324)",0.592125848,"147 (119, 118)",0.593009687,"147 (119, 118)",,"147 (119, 118)",-0.001746888,,-0.000863049
"148 (176, 211)",0.530429908,"148 (161, 137)",0.539534167,"148 (109, 129)",0.541025572,"148 (109, 129)",,"148 (109, 129)",-0.010595664,,-0.009104259
"149 (152, 157)",0.463126801,"149 (135, 126)",0.46920575,"149 (52, 69)",0.492451368,"149 (52, 69)",,"149 (52, 69)",-0.029324567,,-0.006078949
"14th (nicholas, permitted)",0.590254904,"14th (prejudice, mormon)",0.595768123,"14th (persistent, misuse)",0.577056662,"14th (persistent, misuse)",,"14th (persistent, misuse)",0.013198242,,-0.005513219
"15 (18, 13)",0.557987537,"15 (10, another)",0.565454119,"15 (includes, given)",0.556011393,"15 (includes, given)",,"15 (includes, given)",0.001976144,,-0.007466582
"150 (100, 300)",0.545630242,"150 (administration, compression)",0.556003351,"150 (63, 80)",0.570417906,"150 (63, 80)",,"150 (63, 80)",-0.024787664,,-0.010373109
"1500 (4th, 2500)",0.561310698,"1500 (increase, statistics)",0.574208977,"1500 (island, primarily)",0.564694316,"1500 (island, primarily)",,"1500 (island, primarily)",-0.003383618,,-0.012898279
"15000 (1918, reviews)",0.559031504,"15000 (genesis, discount)",0.566996764,"15000 (310, harvard)",0.557254934,"15000 (310, harvard)",,"15000 (310, harvard)",0.00177657,,-0.00796526
"150000 (housing, serbian)",0.531782005,"150000 (harmony, ministers)",0.537806514,"150000 (regions, plots)",0.533287122,"150000 (regions, plots)",,"150000 (regions, plots)",-0.001505117,,-0.006024509
"151 (85, 134)",0.555324937,"151 (indicates, passenger)",0.561518074,"151 (111, 109)",0.556787596,"151 (111, 109)",,"151 (111, 109)",-0.001462659,,-0.006193137
"152 (390, 198)",0.51856437,"152 (157, 203)",0.526242752,"152 (143, 138)",0.522778729,"152 (143, 138)",,"152 (143, 138)",-0.004214359,,-0.007678382
"153 (179, 159)",0.535857636,"153 (159, 167)",0.539011065,"153 (stole, gloves)",0.537996545,"153 (stole, gloves)",,"153 (stole, gloves)",-0.002138909,,-0.003153429
"154 (belfour, roenick)",0.535611526,"154 (167, 186)",0.53937926,"154 (briefed, 171)",0.522164603,"154 (briefed, 171)",,"154 (briefed, 171)",0.013446923,,-0.003767734
"155 (evening, 185)",0.555412161,"155 (163, 118)",0.560262754,"155 (robinson, 216)",0.554853848,"155 (robinson, 216)",,"155 (robinson, 216)",0.000558313,,-0.004850593
"156 (oem, 234)",0.561527116,"156 (153, 202)",0.565271236,"156 (beside, 312)",0.555265888,"156 (beside, 312)",,"156 (beside, 312)",0.006261228,,-0.00374412
"157 (198, 152)",0.548888644,"157 (158, 152)",0.550753047,"157 (196, 137)",0.547222439,"157 (196, 137)",,"157 (196, 137)",0.001666205,,-0.001864403
"158 (243, 345)",0.647062488,"158 (138, 171)",0.661442728,"158 (157, 358)",0.646001323,"158 (157, 358)",,"158 (157, 358)",0.001061165,,-0.01438024
"159 (310, 153)",0.601546616,"159 (153, 179)",0.611130977,"159 (sustain, judged)",0.58880145,"159 (sustain, judged)",,"159 (sustain, judged)",0.012745166,,-0.009584361
"15th (5th, newsletter)",0.53199662,"15th (approaches, impress)",0.535366217,"15th (occupied, 2030)",0.539546342,"15th (occupied, 2030)",,"15th (occupied, 2030)",-0.007549722,,-0.003369597
"16 (13, 24)",0.521931019,"16 (25, 13)",0.531054401,"16 (17, parts)",0.532687143,"16 (17, parts)",,"16 (17, parts)",-0.010756124,,-0.009123382
"160 (230, 288)",0.538654497,"160 (replay, defeat)",0.551075567,"160 (67, 1400)",0.542066421,"160 (67, 1400)",,"160 (67, 1400)",-0.003411924,,-0.01242107
"1600 (2600, wing)",0.571020222,"1600 (automobiles, govt)",0.584696945,"1600 (initially, needless)",0.60114328,"1600 (initially, needless)",,"1600 (initially, needless)",-0.030123058,,-0.013676723
"161 (162, consumed)",0.525860111,"161 (148, 204)",0.532270489,"161 (saved, mac)",0.530820622,"161 (saved, mac)",,"161 (saved, mac)",-0.004960511,,-0.006410378
"162 (daryl, 177)",0.579772234,"162 (allies, america)",0.589394686,"162 (fulfilled, cent)",0.559210403,"162 (fulfilled, cent)",,"162 (fulfilled, cent)",0.020561831,,-0.009622452
"163 (154, 321)",0.557383292,"163 (majesty, 139)",0.564927912,"163 (walks, hunt)",0.553973147,"163 (walks, hunt)",,"163 (walks, hunt)",0.003410145,,-0.00754462
"165 (oem, raytracing)",0.557782628,"165 (127, raytracing)",0.574198189,"165 (increasing, circa)",0.556042099,"165 (increasing, circa)",,"165 (increasing, circa)",0.001740529,,-0.016415561
"167 (168, 181)",0.498828779,"167 (154, 153)",0.502957454,"167 (310, 225)",0.496353845,"167 (310, 225)",,"167 (310, 225)",0.002474934,,-0.004128675
"168 (linking, 167)",0.542245964,"168 (233, 137)",0.545539644,"168 (hunt, 163)",0.54597116,"168 (hunt, 163)",,"168 (hunt, 163)",-0.003725196,,-0.00329368
"169 (121, surprises)",0.550631296,"169 (159, 153)",0.550811264,"169 (216, deeper)",0.538781927,"169 (216, deeper)",,"169 (216, deeper)",0.011849369,,-0.000179968
"16bit (irq, et4000)",0.486709667,"16bit (constructed, slots)",0.494163573,"16bit (retrieve, 640x480)",0.492645796,"16bit (retrieve, 640x480)",,"16bit (retrieve, 640x480)",-0.005936129,,-0.007453906
"16mb (et4000, 8mb)",0.528434369,"16mb (ct, hammer)",0.536933408,"16mb (33mhz, multitasking)",0.523232065,"16mb (33mhz, multitasking)",,"16mb (33mhz, multitasking)",0.005202304,,-0.008499039
"16th (polls, wrist)",0.52019334,"16th (fitted, efficiency)",0.538138116,"16th (slap, victory)",0.55123562,"16th (slap, victory)",,"16th (slap, victory)",-0.03104228,,-0.017944776
"17 (13, 15)",0.540853541,"17 (14, 1993)",0.549568666,"17 (25, major)",0.543801452,"17 (25, major)",,"17 (25, major)",-0.002947911,,-0.008715125
"170 (185, 480)",0.567152356,"170 (269, 185)",0.587583033,"170 (dozen, represents)",0.617501929,"170 (dozen, represents)",,"170 (dozen, represents)",-0.050349573,,-0.020430677
"1700 (motherboard, rs6000)",0.596580758,"1700 (catholics, orbiting)",0.604561473,"1700 (sister, deck)",0.601164524,"1700 (sister, deck)",,"1700 (sister, deck)",-0.004583766,,-0.007980715
"171 (105, movie)",0.59122809,"171 (158, 393)",0.600566489,"171 (158, 234)",0.582830868,"171 (158, 234)",,"171 (158, 234)",0.008397222,,-0.009338399
"172 (608, 117)",0.506547303,"172 (176, 182)",0.515134762,"172 (177, 500000)",0.527680046,"172 (177, 500000)",,"172 (177, 500000)",-0.021132743,,-0.008587459
"175 (52, 340)",0.524461553,"175 (pin, larry)",0.531027453,"175 (whos, fair)",0.528316545,"175 (whos, fair)",,"175 (whos, fair)",-0.003854992,,-0.0065659
"176 (tb, 148)",0.524731517,"176 (691, 243)",0.53534143,"176 (302, 179)",0.545961521,"176 (302, 179)",,"176 (302, 179)",-0.021230004,,-0.010609913
"177 (111, 608)",0.520725487,"177 (invent, 186)",0.526281548,"177 (172, evaluating)",0.519856638,"177 (172, evaluating)",,"177 (172, evaluating)",0.000868849,,-0.005556061
"179 (153, 312)",0.544745451,"179 (137, 159)",0.551543683,"179 (jersey, recording)",0.546663032,"179 (jersey, recording)",,"179 (jersey, recording)",-0.001917581,,-0.006798232
"17th (heal, wages)",0.461627565,"17th (circuit, restore)",0.4687904,"17th (mar, swallow)",0.470603053,"17th (mar, swallow)",,"17th (mar, swallow)",-0.008975488,,-0.007162835
"18 (15, 20)",0.631292131,"18 (months, 15)",0.627685697,"18 (45, 65)",0.581568342,"18 (45, 65)",,"18 (45, 65)",0.049723789,,0.003606434
"180 (950, 190)",0.513189145,"180 (degrees, 242)",0.516305177,"180 (ya, inner)",0.508816623,"180 (ya, inner)",,"180 (ya, inner)",0.004372522,,-0.003116032
"1800 (338, hewlett)",0.527154805,"1800 (converting, replies)",0.538116904,"1800 (agenda, heavily)",0.53072371,"1800 (agenda, heavily)",,"1800 (agenda, heavily)",-0.003568905,,-0.010962099
"18084tmibmclmsuedu (circumference, wk)",0.512553075,"18084tmibmclmsuedu (wk, circumference)",0.514157692,"18084tmibmclmsuedu (wk, circumference)",0.511729879,"18084tmibmclmsuedu (wk, circumference)",,"18084tmibmclmsuedu (wk, circumference)",0.000823196,,-0.001604617
"181 (134, 162)",0.532305447,"181 (1926, memoirs)",0.541630838,"181 (upto, emerson)",0.527768518,"181 (upto, emerson)",,"181 (upto, emerson)",0.004536929,,-0.009325391
"182 (138, 124)",0.556223942,"182 (362, 143)",0.550849553,"182 (131, 137)",0.530285351,"182 (131, 137)",,"182 (131, 137)",0.025938591,,0.005374389
"184 (collaboration, 179)",0.538626024,"184 (189, 153)",0.543693495,"184 (243, 331)",0.53402359,"184 (243, 331)",,"184 (243, 331)",0.004602434,,-0.005067471
"185 (269, 170)",0.529736031,"185 (176, 186)",0.533596921,"185 (lamp, 282)",0.522547049,"185 (lamp, 282)",,"185 (lamp, 282)",0.007188982,,-0.00386089
"186 (154, 203)",0.549831623,"186 (154, 153)",0.554372323,"186 (162, 196)",0.526253375,"186 (162, 196)",,"186 (162, 196)",0.023578248,,-0.0045407
"189 (218, 153)",0.534380719,"189 (218, concludes)",0.540702668,"189 (rockets, 214)",0.528454854,"189 (rockets, 214)",,"189 (rockets, 214)",0.005925865,,-0.006321949
"18th (interactions, 16th)",0.628500869,"18th (1969, primitive)",0.641472509,"18th (weekend, modest)",0.640896222,"18th (weekend, modest)",,"18th (weekend, modest)",-0.012395353,,-0.01297164
"19 (18, 13)",0.555343765,"19 (14, 13)",0.569073683,"19 (35, 60)",0.551400916,"19 (35, 60)",,"19 (35, 60)",0.003942849,,-0.013729918
"190 (eligible, 180)",0.524790974,"190 (189, investigations)",0.535799532,"190 (turner, angry)",0.516064242,"190 (turner, angry)",,"190 (turner, angry)",0.008726732,,-0.011008558
"1900 (austria, separately)",0.559931874,"1900 (communist, apollo)",0.566860678,"1900 (familiar, collective)",0.542772195,"1900 (familiar, collective)",,"1900 (familiar, collective)",0.017159679,,-0.006928804
"1913 (assembled, powell)",0.510246148,"1913 (1966, 1962)",0.519398385,"1913 (policemen, brass)",0.520225997,"1913 (policemen, brass)",,"1913 (policemen, brass)",-0.009979849,,-0.009152237
"1914 (genocide, revolutionary)",0.536906908,"1914 (1920, kurdish)",0.541404193,"1914 (turkiye, kars)",0.543649619,"1914 (turkiye, kars)",,"1914 (turkiye, kars)",-0.006742711,,-0.004497285
"1915 (istanbul, prelude)",0.724448505,"1915 (1916, antiarmenian)",0.725504372,"1915 (asia, intense)",0.714079348,"1915 (asia, intense)",,"1915 (asia, intense)",0.010369157,,-0.001055867
"1916 (turk, invading)",0.505395971,"1916 (1915, neely)",0.512113957,"1916 (republics, astronomers)",0.52163279,"1916 (republics, astronomers)",,"1916 (republics, astronomers)",-0.016236819,,-0.006717986
"1918 (invading, ltd)",0.528281233,"1918 (caucasian, turk)",0.530258432,"1918 (ankara, 608)",0.537040188,"1918 (ankara, 608)",,"1918 (ankara, 608)",-0.008758955,,-0.001977199
"1919 (witnessed, debates)",0.53409464,"1919 (istanbul, 1926)",0.542511679,"1919 (welfare, buses)",0.554375396,"1919 (welfare, buses)",,"1919 (welfare, buses)",-0.020280756,,-0.008417039
"192 (throughput, 159)",0.734792995,"192 (283, 126)",0.754553515,"192 (leading, closest)",0.777666479,"192 (leading, closest)",,"192 (leading, closest)",-0.042873484,,-0.01976052
"1920 (genocide, 1914)",0.50338375,"1920 (1914, legs)",0.510588685,"1920 (pulse, accord)",0.515605856,"1920 (pulse, accord)",,"1920 (pulse, accord)",-0.012222106,,-0.007204935
"1923 (viii, cmon)",0.534089335,"1923 (script, shaw)",0.534721135,"1923 (struggling, construed)",0.532017857,"1923 (struggling, construed)",,"1923 (struggling, construed)",0.002071478,,-0.0006318
"1926 (hartill, memoirs)",0.517095644,"1926 (memoirs, hartill)",0.523758667,"1926 (tartar, hartill)",0.518285878,"1926 (tartar, hartill)",,"1926 (tartar, hartill)",-0.001190234,,-0.006663023
"193 (117, 203)",0.604351544,"193 (369, 97)",0.621709583,"193 (threatened, 184)",0.583532041,"193 (threatened, 184)",,"193 (threatened, 184)",0.020819503,,-0.017358039
"1934 (lawsuit, qualifies)",0.501082652,"1934 (isa, aryan)",0.503476855,"1934 (justifies, warfare)",0.498421904,"1934 (justifies, warfare)",,"1934 (justifies, warfare)",0.002660748,,-0.002394203
"1939 (yugoslavia, azeri)",0.665501969,"1939 (tartars, que)",0.66952105,"1939 (bid, wounds)",0.679351517,"1939 (bid, wounds)",,"1939 (bid, wounds)",-0.013849548,,-0.004019081
"1944 (riots, proponents)",0.526469335,"1944 (ottoman, aryan)",0.52865004,"1944 (1952, parliamentary)",0.530203385,"1944 (1952, parliamentary)",,"1944 (1952, parliamentary)",-0.00373405,,-0.002180705
"1948 (gretzky, survived)",0.523722628,"1948 (ranked, destiny)",0.533903101,"1948 (financially, consumed)",0.542793813,"1948 (financially, consumed)",,"1948 (financially, consumed)",-0.019071185,,-0.010180473
"195 (199, 305)",0.533153696,"195 (hosts, 159)",0.54398996,"195 (240, doors)",0.527506373,"195 (240, doors)",,"195 (240, doors)",0.005647323,,-0.010836264
"1950s (farm, 1960s)",0.538957841,"1950s (steer, fund)",0.539868321,"1950s (picking, projects)",0.52994156,"1950s (picking, projects)",,"1950s (picking, projects)",0.009016281,,-0.00091048
"1951 (1953, 1952)",0.499899575,"1951 (1953, appeals)",0.510758606,"1951 (40000, hero)",0.508615804,"1951 (40000, hero)",,"1951 (40000, hero)",-0.008716229,,-0.010859031
"1952 (colonel, dunn)",0.550224125,"1952 (1953, dunn)",0.555355267,"1952 (1953, factual)",0.548364606,"1952 (1953, factual)",,"1952 (1953, factual)",0.001859519,,-0.005131142
"1953 (1951, 1981)",0.515887501,"1953 (1952, ottoman)",0.518903846,"1953 (1952, parliamentary)",0.502852932,"1953 (1952, parliamentary)",,"1953 (1952, parliamentary)",0.013034569,,-0.003016345
