AWV,0.782,0.252,0.971,0.328,0.974,0.417,0.973,0.495,0.987,0.719,AWV,0.642,0.652,0.643,0.694,0.695,0.717,0.660,0.663,0.827,0.829,
MDS,0.791,0.263,0.900,0.357,0.979,0.489,0.976,0.522,0.988,0.670,D2V,0.642,0.664,0.660,0.707,0.702,0.700,0.711,0.708,0.878,0.878,
D2V,0.818,0.268,0.867,0.298,0.974,0.445,0.971,0.482,0.986,0.724,PPMI,0.616,0.700,0.655,0.719,0.675,0.730,0.712,0.710,0.887,0.888,
PPMI,0.975,0.616,0.978,0.699,0.980,0.723,0.984,0.746,0.990,0.800,Topic,0.793,0.790,0.794,0.791,0.810,0.811,0.733,0.730,0.815,0.822,
Topic,0.920,0.411,0.977,0.527,0.977,0.536,0.977,0.560,0.950,0.513,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Placetypes,D1,,D2,,D3,,DN,,SVM,,Movies,D1,,D2,,D3,,DN,,SVM,,
OpenCYC,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1,Genres,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1,
PCA,0.586,0.346,0.708,0.343,0.695,0.342,0.832,0.309,0.847,0.474,PCA,0.722,0.301,0.755,0.339,0.717,0.321,0.884,0.372,0.925,0.518,
AWV,0.625,0.383,0.651,0.376,0.728,0.396,0.844,0.362,0.850,0.466,AWV,0.679,0.290,0.774,0.321,0.756,0.343,0.873,0.312,0.922,0.496,
MDS,0.624,0.364,0.700,0.397,0.731,0.374,0.843,0.305,0.861,0.476,MDS,0.679,0.298,0.790,0.358,0.773,0.354,0.887,0.385,0.875,0.532,
PPMI,0.728,0.371,0.750,0.351,0.739,0.352,0.843,0.323,0.900,0.366,PPMI,0.852,0.429,0.910,0.443,0.912,0.483,0.882,0.416,0.923,0.526,
Topic,0.708,0.365,0.870,0.271,0.870,0.313,0.831,0.313,0.808,0.407,Topic,0.767,0.415,0.905,0.472,0.912,0.455,0.889,0.415,0.843,0.491,
,,,,,,,,,,,,,,,,,,,,,,
Foursquare,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1,Keywords,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1,
PCA,0.731,0.342,0.823,0.393,0.860,0.388,0.887,0.398,0.896,0.568,PCA,0.647,0.185,0.644,0.193,0.677,0.199,0.846,0.161,0.787,0.272,
AWV,0.767,0.401,0.828,0.478,0.850,0.452,0.905,0.505,0.923,0.622,AWV,0.500,0.160,0.641,0.179,0.595,0.174,0.853,0.141,0.717,0.230,
MDS,0.915,0.438,0.804,0.427,0.860,0.454,0.893,0.462,0.932,0.619,MDS,0.633,0.179,0.690,0.198,0.674,0.201,0.840,0.163,0.788,0.280,
PPMI,0.889,0.473,0.915,0.512,0.904,0.491,0.881,0.310,0.938,0.567,PPMI,0.818,0.243,0.745,0.224,0.739,0.224,0.847,0.170,0.921,0.217,
Topic,0.864,0.488,0.916,0.433,0.917,0.526,0.907,0.464,0.916,0.569,Topic,0.629,0.189,0.932,0.050,0.930,0.075,0.857,0.152,0.678,0.210,
,,,,,,,,,,,,,,,,,,,,,,
Geonames,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1,Ratings,ACC,F1,ACC,F1,ACC,F1,ACC,F1,ACC,F1,
PCA,0.502,0.301,0.690,0.305,0.680,0.295,0.821,0.243,0.844,0.401,PCA,0.650,0.463,0.681,0.475,0.684,0.486,0.744,0.408,0.771,0.580,
AWV,0.657,0.326,0.755,0.323,0.842,0.367,0.813,0.332,0.865,0.514,AWV,0.601,0.423,0.618,0.433,0.596,0.448,0.736,0.372,0.730,0.532,
MDS,0.626,0.349,0.695,0.340,0.796,0.272,0.845,0.295,0.638,0.397,MDS,0.592,0.437,0.635,0.449,0.631,0.452,0.752,0.412,0.773,0.589,
PPMI,0.808,0.361,0.732,0.301,0.760,0.242,0.830,0.283,0.894,0.312,PPMI,0.583,0.470,0.635,0.453,0.605,0.453,0.730,0.384,0.825,0.536,
Topic,0.771,0.365,0.863,0.300,0.850,0.219,0.828,0.348,0.819,0.349,Topic,0.575,0.473,0.789,0.243,0.789,0.380,0.739,0.375,0.704,0.501,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
