,all_tree,double_tree,all_tree_trimmed,double_tree_trimmed
Film-Noir,"['allens allen woody ' 'femme fatale ' 'hippie '
 'sexual nudity erotic sexually sexuality porn explicit porno '
 'stupid campy ridiculous mess farce camp outrageous dumb laughable preposterous absurd disbelief zany silliness holes unbelievable trashy inept stupidity ludicrous logic '
 'teaching teaches education training teach instructor learning classes lessons learned taught educational ']",['femme fatale '],['femme fatale '],[]
History,"['drunk alcohol drinking booze beer drink drinks '
 'gritty historically fiction portrayal accurate accuracy facts realistic portrayed realism perspective depiction detail conditions details depicted account insight portrays authentic harsh portraying captured environment factual inaccuracies depicts daily glimpse aspects '
 'noir bogart satire witty clever satirical wit imaginative smart irreverent sharp inventive cynical classical medieval sophisticated terminator deadpan '
 'teen teens teenage teenagers teenager angst youth rebellious '
 'western historical musicians silent biography propaganda regime anti revolution diet century jazz traditional biographical historic historians lifestyle context contemporary relevant ']",['gritty historically fiction portrayal accurate accuracy facts realistic portrayed realism perspective depiction detail conditions details depicted account insight portrays authentic harsh portraying captured environment factual inaccuracies depicts daily glimpse aspects '],['western historical musicians silent biography propaganda regime anti revolution diet century jazz traditional biographical historic historians lifestyle context contemporary relevant '],[]
Horror,"['horror creepy scares scare spooky chills scariest frightening terrifying haunted chilling eerie scary demonic scarier creepiness witch scared blair '
 'inspirational inspiring poverty uplifting determination strength struggle courage inspiration desperation overcome despair heroic heroism '
 'robbers robbing ' 'vampire dracula vampires ' 'zombie zombies undead ']","['horror creepy scares scare spooky chills scariest frightening terrifying haunted chilling eerie scary demonic scarier creepiness witch scared blair '
 'zombie zombies undead ']",['horror creepy scares scare spooky chills scariest frightening terrifying haunted chilling eerie scary demonic scarier creepiness witch scared blair '],[]
Music,"['dancing dance dancer ballet dancers dances '
 'elvis band concert beatles bands rock punk album albums guitar roll '
 'episodes episode season seasons aired television sitcom network '
 'gore gory violence spaghetti violent exploitation bloody brutal tarantino brutality blood torture graphic disgusting gruesome thugs nasty sadistic stomach massacre gratuitous grisly pulp squeamish visceral mayhem brutally '
 'songs singing song sing sings singer singers lyrics vocals sung ']",['songs singing song sing sings singer singers lyrics vocals sung '],['songs singing song sing sings singer singers lyrics vocals sung '],[]
Musical,"['alcoholic alcoholism ' 'dancing dance dancer ballet dancers dances '
 'nominated oscar won award win winning nomination nominations oscars awards academy '
 'romantic romance charming cute quirky charm sweet adorable rom delightful endearing eccentric hearted likable offbeat pleasant whimsical lovable appealing likeable harmless affection '
 'sherlock holmes '
 'songs singing song sing sings singer singers lyrics vocals sung ']",['alcoholic alcoholism '],['songs singing song sing sings singer singers lyrics vocals sung '],[]
Mystery,"['chemistry twists mystery trek premise inspector bizarre musician fascinating intriguing clues twist partner guessing mysterious journey weird slowly subtle van duo landscape quiet revealed intrigue odd performer pair pairing conclusion traveling mission seemingly reveal desert meet possessed unexpected surface lonely build builds search individuals pacific assigned identity resolution trail increasingly understated robots scifi linear '
 'pilot planes plane aerial flying flight airport air '
 'robbery heist bank '
 'science scientific scientist investigation scientists investigating lab research experiments investigate theories mysteries theory '
 'thriller suspense hitchcock hitchcocks thrillers suspenseful tense thrills alfred taut ']","['chemistry twists mystery trek premise inspector bizarre musician fascinating intriguing clues twist partner guessing mysterious journey weird slowly subtle van duo landscape quiet revealed intrigue odd performer pair pairing conclusion traveling mission seemingly reveal desert meet possessed unexpected surface lonely build builds search individuals pacific assigned identity resolution trail increasingly understated robots scifi linear '
 'thriller suspense hitchcock hitchcocks thrillers suspenseful tense thrills alfred taut ']",['thriller suspense hitchcock hitchcocks thrillers suspenseful tense thrills alfred taut '],[]
Romance,"['gore gory violence spaghetti violent exploitation bloody brutal tarantino brutality blood torture graphic disgusting gruesome thugs nasty sadistic stomach massacre gratuitous grisly pulp squeamish visceral mayhem brutally '
 'mgm sexy island male nude naked steamy handsome attractive sensual rear hot lust attraction seductive '
 'romantic romance charming cute quirky charm sweet adorable rom delightful endearing eccentric hearted likable offbeat pleasant whimsical lovable appealing likeable harmless affection '
 'slasher killer serial murder murders revenge killings assassination killed victims killing murdered murderer deaths kills killers kill sword assassin spree stalking murderous stalked '
 'wedding marry marries marrying bride ']","['mgm sexy island male nude naked steamy handsome attractive sensual rear hot lust attraction seductive '
 'slasher killer serial murder murders revenge killings assassination killed victims killing murdered murderer deaths kills killers kill sword assassin spree stalking murderous stalked ']",['wedding marry marries marrying bride '],[]
Sci-Fi,"['apocalyptic ' 'boxing '
 'disney sports crime anime sport evidence health criminal hood civil mummy criminals enemy victim truth crimes cancer public suffering adventures law videos perform practice bumbling freedom sick performing performed con support boys advanced manipulative champion stunt system smile justice scam fellow february suspects private hardy injustice healthy sidekick presents accept believes victorian conviction ill suspect spike utterly dashing youngest cds enjoying claims policy scheme peace putting expose dying heroes '
 'husband affair infidelity husbands cheating '
 'science scientific scientist investigation scientists investigating lab research experiments investigate theories mysteries theory '
 'stage space planet judy industry outer kirk talented earth theaters debut deserves dialog directing theater produced producer fame talents credits bomb bombs ']",['science scientific scientist investigation scientists investigating lab research experiments investigate theories mysteries theory '],['science scientific scientist investigation scientists investigating lab research experiments investigate theories mysteries theory '],[]
Short,"['blu ray sdh bluray dts ' 'disneys walt ' 'geocities html aol faustus '
 'opera soap '
 'teen teens teenage teenagers teenager angst youth rebellious ']",['disneys walt '],['geocities html aol faustus '],[]
Sport,"['artist artists paintings painting ' 'boxing ' 'dub dubbing '
 'musicals musical coach team baseball orchestra football broadway ensemble technicolor players charles fred symphony barbara robert player walter teams rogers texas scott performers kenneth program composer dramas romances elizabeth frontier hollywoods lewis staging jane peter productions veteran '
 'racial racism african racist blacks whites ' 'robbers robbing '
 'surfing waves wave beach ']",[],['boxing '],[]
Thriller,"['daughter grandchildren bette davis aging daughters elderly hepburn aged queen '
 'musicals musical coach team baseball orchestra football broadway ensemble technicolor players charles fred symphony barbara robert player walter teams rogers texas scott performers kenneth program composer dramas romances elizabeth frontier hollywoods lewis staging jane peter productions veteran '
 'slasher killer serial murder murders revenge killings assassination killed victims killing murdered murderer deaths kills killers kill sword assassin spree stalking murderous stalked '
 'thriller suspense hitchcock hitchcocks thrillers suspenseful tense thrills alfred taut '
 'touching heartwarming sentimental poignant heartfelt sentimentality affecting warm gentle bittersweet sweetness warmth warming '
 'zombie zombies undead ']",['daughter grandchildren bette davis aging daughters elderly hepburn aged queen '],['thriller suspense hitchcock hitchcocks thrillers suspenseful tense thrills alfred taut '],[]
War,"['hippie '
 'inspirational inspiring poverty uplifting determination strength struggle courage inspiration desperation overcome despair heroic heroism '
 'nazis nazi german wwii germany germans holocaust hitler '
 'robbers robbing '
 'war soldiers vietnam combat military troops soldier army iraq sergeant sgt commander unit fort civilians civilian ']","['nazis nazi german wwii germany germans holocaust hitler '
 'war soldiers vietnam combat military troops soldier army iraq sergeant sgt commander unit fort civilians civilian ']",['war soldiers vietnam combat military troops soldier army iraq sergeant sgt commander unit fort civilians civilian '],[]
Western,"['aircraft airplane ' 'canadian canada ' 'indians indian india ' 'outlaw '
 'westerns weapons gun shoot shooting bullets guns ']",['outlaw ' 'westerns weapons gun shoot shooting bullets guns '],['outlaw '],[]
